Sub-Region,Alpha3Code,Alpha Ctry Code,Total Cases,Country / territory,Country name,Date,Deaths,EpiWeek onset,Imported cases,Laboratory confirmed cases,Nombre Pais,NumCtryCode (Countries codes),Num Ctry Code,Number of GBS associated with Zika,Number of GBS,Number of Records,Number of microcephalies associated,Other Neuro complications,Other source of transmission,Pregnant women,Report Epi Week,Severe cases,Sovereign,Status,Suspected cases (bin),Suspected cases,Total Cases (bin),Year
Non Latin Caribbean,JAM,JAM,0%,Jamaica,Jamaica,"October, 2015",0,0,0,0,Jamaica,388,388,0,0,1,0,0,0,0,41,0,Jamaica,Member State,0K,0,0%,2015
Non Latin Caribbean,VCT,VCT,0%,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,"October, 2015",0,0,0,0,San Vicente y las Granadinas,670,670,0,0,1,0,0,0,0,41,0,St. Vincent and the Grenadines,Member State,0K,0,0%,2015
Non Latin Caribbean,SUR,SUR,0%,Suriname,Suriname,"October, 2015",0,0,0,0,Suriname,740,740,0,0,1,0,0,0,0,41,0,Suriname,Member State,0K,0,0%,2015
Non Latin Caribbean,TTO,TTO,0%,Trinidad and Tobago,Trinidad and Tobago,"October, 2015",0,0,0,0,Trinidad y Tobago,780,780,0,0,1,0,0,0,0,41,0,Trinidad and Tobago,Member State,0K,0,0%,2015
North America,MEX,MEX,0%,Mexico,Mexico,"October, 2015",0,0,0,0,México,484,484,0,0,1,0,0,0,0,41,0,Mexico,Member State,0K,0,0%,2015
South Cone,BRA,BRA,0%,Brazil,Brazil,"October, 2015",0,0,0,0,Brasil,76,76,0,0,1,0,0,0,0,41,0,Brazil,Member State,0K,0,0%,2015
South Cone,PRY,PRY,0%,Paraguay,Paraguay,"October, 2015",0,0,0,0,Paraguay,600,600,0,0,1,0,0,0,0,41,0,Paraguay,Member State,0K,0,0%,2015
Non Latin Caribbean,VIR,VIR,0%,United States Virgin Islands,United States Virgin Islands,"October, 2015",0,0,0,0,Islas Vírgenes (EUA),850,850,0,0,1,0,0,0,0,41,0,United States of America,Other,0K,0,0%,2015
Latin Caribbean,MAF,MAF,0%,Saint Martin,Saint Martin,"October, 2015",0,0,0,0,Isla de San Martín (Francia),663,663,0,0,1,0,0,0,0,41,0,France,Overseas collectivities,0K,0,0%,2015
Latin Caribbean,GLP,GLP,0%,Guadeloupe,Guadeloupe,"October, 2015",0,0,0,0,Guadalupe,312,312,0,0,1,0,0,0,0,41,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,GUF,GUF,0%,French Guiana,French Guiana,"October, 2015",0,0,0,0,Guayana Francesa,254,254,0,0,1,0,0,0,0,41,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,MTQ,MTQ,0%,Martinique,Martinique,"October, 2015",0,0,0,0,Martinica,474,474,0,0,1,0,0,0,0,41,0,France,Participating State \Territory,0K,0,0%,2015
Non Latin Caribbean,BES,BES,0%,Bonaire,"Bonaire, Saint Eustatius and Saba","October, 2015",0,0,0,0,"Bonaire, San Eustaquio y Saba",535,535,0,0,1,0,0,0,0,41,0,Netherlands,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,PRI,PRI,0%,Puerto Rico,Puerto Rico,"October, 2015",0,0,0,0,Puerto Rico,630,630,0,0,1,0,0,0,0,42,0,United States,Associated Member,0K,0,0%,2015
Non Latin Caribbean,ABW,ABW,0%,Aruba,Aruba,"October, 2015",0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,42,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,CUW,CUW,0%,Curacao,Curacao,"October, 2015",0,0,0,0,Curazao,531,531,0,0,1,0,0,0,0,42,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,SXM,SXM,0%,Sint Maarten,Sint Maarten,"October, 2015",0,0,0,0,Isla de San Martín (Holanda),534,534,0,0,1,0,0,0,0,42,0,Netherlands,Associated Member,0K,0,0%,2015
Andean,BOL,BOL,0%,Bolivia,Bolivia,"October, 2015",0,0,0,0,Bolivia,68,68,0,0,1,0,0,0,0,42,0,Bolivia,Member State,0K,0,0%,2015
Andean,COL,COL,34300%,Colombia,Colombia,"October, 2015",0,0,0,193,Colombia,170,170,0,0,1,0,0,0,0,42,0,Colombia,Member State,0K,150,0%,2015
Andean,ECU,ECU,0%,Ecuador,Ecuador,"October, 2015",0,0,0,0,Ecuador,218,218,0,0,1,0,0,0,0,42,0,Ecuador,Member State,0K,0,0%,2015
Andean,VEN,VEN,0%,Venezuela,Venezuela,"October, 2015",0,0,0,0,Venezuela,862,862,0,0,1,0,0,0,0,42,0,Venezuela,Member State,0K,0,0%,2015
Central America,CRI,COR,0%,Costa Rica,Costa Rica,"October, 2015",0,0,0,0,Costa Rica,188,188,0,0,1,0,0,0,0,42,0,Costa Rica,Member State,0K,0,0%,2015
Central America,SLV,SLV,0%,El Salvador,El Salvador,"October, 2015",0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,42,0,El Salvador,Member State,0K,0,0%,2015
Central America,GTM,GTM,0%,Guatemala,Guatemala,"October, 2015",0,0,0,0,Guatemala,320,320,0,0,1,0,0,0,0,42,0,Guatemala,Member State,0K,0,0%,2015
Central America,HND,HND,0%,Honduras,Honduras,"October, 2015",0,0,0,0,Honduras,340,340,0,0,1,0,0,0,0,42,0,Honduras,Member State,0K,0,0%,2015
Central America,NIC,NIC,0%,Nicaragua,Nicaragua,"October, 2015",0,0,0,0,Nicaragua,558,558,0,0,1,0,0,0,0,42,0,Nicaragua,Member State,0K,0,0%,2015
Central America,PAN,PAN,0%,Panama,Panama,"October, 2015",0,0,0,0,Panamá,591,591,0,0,1,0,0,0,0,42,0,Panama,Member State,0K,0,0%,2015
Latin Caribbean,DOM,DOM,0%,Dominican Republic,Dominican Republic,"October, 2015",0,0,0,0,República Dominicana,214,214,0,0,1,0,0,0,0,42,0,Dominican Republic,Member State,0K,0,0%,2015
Latin Caribbean,HTI,HTI,0%,Haiti,Haiti,"October, 2015",0,0,0,0,Haití,332,332,0,0,1,0,0,0,0,42,0,Haiti,Member State,0K,0,0%,2015
Latin Caribbean,HTI,HTI,300%,Haiti,Haiti,"October, 2015",0,0,0,0,Haití,332,332,0,0,1,0,0,0,0,42,0,Haiti,Member State,0K,3,0%,2015
Non Latin Caribbean,BRB,BRB,0%,Barbados,Barbados,"October, 2015",0,0,0,0,Barbados,52,52,0,0,1,0,0,0,0,42,0,Barbados,Member State,0K,0,0%,2015
Non Latin Caribbean,GUY,GUY,0%,Guyana,Guyana,"October, 2015",0,0,0,0,Guyana,328,328,0,0,1,0,0,0,0,42,0,Guyana,Member State,0K,0,0%,2015
Non Latin Caribbean,JAM,JAM,0%,Jamaica,Jamaica,"October, 2015",0,0,0,0,Jamaica,388,388,0,0,1,0,0,0,0,42,0,Jamaica,Member State,0K,0,0%,2015
Non Latin Caribbean,VCT,VCT,0%,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,"October, 2015",0,0,0,0,San Vicente y las Granadinas,670,670,0,0,1,0,0,0,0,42,0,St. Vincent and the Grenadines,Member State,0K,0,0%,2015
Non Latin Caribbean,SUR,SUR,0%,Suriname,Suriname,"October, 2015",0,0,0,0,Suriname,740,740,0,0,1,0,0,0,0,42,0,Suriname,Member State,0K,0,0%,2015
Non Latin Caribbean,TTO,TTO,0%,Trinidad and Tobago,Trinidad and Tobago,"October, 2015",0,0,0,0,Trinidad y Tobago,780,780,0,0,1,0,0,0,0,42,0,Trinidad and Tobago,Member State,0K,0,0%,2015
North America,MEX,MEX,0%,Mexico,Mexico,"October, 2015",0,0,0,0,México,484,484,0,0,1,0,0,0,0,42,0,Mexico,Member State,0K,0,0%,2015
South Cone,BRA,BRA,0%,Brazil,Brazil,"October, 2015",0,0,0,0,Brasil,76,76,0,0,1,0,0,0,0,42,0,Brazil,Member State,0K,0,0%,2015
South Cone,PRY,PRY,0%,Paraguay,Paraguay,"October, 2015",0,0,0,0,Paraguay,600,600,0,0,1,0,0,0,0,42,0,Paraguay,Member State,0K,0,0%,2015
Non Latin Caribbean,VIR,VIR,0%,United States Virgin Islands,United States Virgin Islands,"October, 2015",0,0,0,0,Islas Vírgenes (EUA),850,850,0,0,1,0,0,0,0,42,0,United States of America,Other,0K,0,0%,2015
Latin Caribbean,MAF,MAF,0%,Saint Martin,Saint Martin,"October, 2015",0,0,0,0,Isla de San Martín (Francia),663,663,0,0,1,0,0,0,0,42,0,France,Overseas collectivities,0K,0,0%,2015
Latin Caribbean,GLP,GLP,0%,Guadeloupe,Guadeloupe,"October, 2015",0,0,0,0,Guadalupe,312,312,0,0,1,0,0,0,0,42,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,GUF,GUF,0%,French Guiana,French Guiana,"October, 2015",0,0,0,0,Guayana Francesa,254,254,0,0,1,0,0,0,0,42,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,MTQ,MTQ,0%,Martinique,Martinique,"October, 2015",0,0,0,0,Martinica,474,474,0,0,1,0,0,0,0,42,0,France,Participating State \Territory,0K,0,0%,2015
Non Latin Caribbean,BES,BES,0%,Bonaire,"Bonaire, Saint Eustatius and Saba","October, 2015",0,0,0,0,"Bonaire, San Eustaquio y Saba",535,535,0,0,1,0,0,0,0,42,0,Netherlands,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,PRI,PRI,0%,Puerto Rico,Puerto Rico,"October, 2015",0,0,0,0,Puerto Rico,630,630,0,0,1,0,0,0,0,43,0,United States,Associated Member,0K,0,0%,2015
Non Latin Caribbean,ABW,ABW,0%,Aruba,Aruba,"October, 2015",0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,43,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,CUW,CUW,0%,Curacao,Curacao,"October, 2015",0,0,0,0,Curazao,531,531,0,0,1,0,0,0,0,43,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,SXM,SXM,0%,Sint Maarten,Sint Maarten,"October, 2015",0,0,0,0,Isla de San Martín (Holanda),534,534,0,0,1,0,0,0,0,43,0,Netherlands,Associated Member,0K,0,0%,2015
Andean,BOL,BOL,0%,Bolivia,Bolivia,"October, 2015",0,0,0,0,Bolivia,68,68,0,0,1,0,0,0,0,43,0,Bolivia,Member State,0K,0,0%,2015
Andean,COL,COL,34000%,Colombia,Colombia,"October, 2015",0,0,0,93,Colombia,170,170,0,0,1,0,0,0,0,43,0,Colombia,Member State,0K,247,0%,2015
Andean,ECU,ECU,0%,Ecuador,Ecuador,"October, 2015",0,0,0,0,Ecuador,218,218,0,0,1,0,0,0,0,43,0,Ecuador,Member State,0K,0,0%,2015
Andean,VEN,VEN,0%,Venezuela,Venezuela,"October, 2015",0,0,0,0,Venezuela,862,862,0,0,1,0,0,0,0,43,0,Venezuela,Member State,0K,0,0%,2015
Central America,CRI,COR,0%,Costa Rica,Costa Rica,"October, 2015",0,0,0,0,Costa Rica,188,188,0,0,1,0,0,0,0,43,0,Costa Rica,Member State,0K,0,0%,2015
Central America,SLV,SLV,0%,El Salvador,El Salvador,"October, 2015",0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,43,0,El Salvador,Member State,0K,0,0%,2015
Central America,GTM,GTM,0%,Guatemala,Guatemala,"October, 2015",0,0,0,0,Guatemala,320,320,0,0,1,0,0,0,0,43,0,Guatemala,Member State,0K,0,0%,2015
Central America,HND,HND,0%,Honduras,Honduras,"October, 2015",0,0,0,0,Honduras,340,340,0,0,1,0,0,0,0,43,0,Honduras,Member State,0K,0,0%,2015
Central America,NIC,NIC,0%,Nicaragua,Nicaragua,"October, 2015",0,0,0,0,Nicaragua,558,558,0,0,1,0,0,0,0,43,0,Nicaragua,Member State,0K,0,0%,2015
Central America,PAN,PAN,0%,Panama,Panama,"October, 2015",0,0,0,0,Panamá,591,591,0,0,1,0,0,0,0,43,0,Panama,Member State,0K,0,0%,2015
Latin Caribbean,DOM,DOM,0%,Dominican Republic,Dominican Republic,"October, 2015",0,0,0,0,República Dominicana,214,214,0,0,1,0,0,0,0,43,0,Dominican Republic,Member State,0K,0,0%,2015
Latin Caribbean,HTI,HTI,0%,Haiti,Haiti,"October, 2015",0,0,0,0,Haití,332,332,0,0,1,0,0,0,0,43,0,Haiti,Member State,0K,0,0%,2015
Latin Caribbean,HTI,HTI,0%,Haiti,Haiti,"October, 2015",0,0,0,0,Haití,332,332,0,0,1,0,0,0,0,43,0,Haiti,Member State,0K,0,0%,2015
Non Latin Caribbean,BRB,BRB,0%,Barbados,Barbados,"October, 2015",0,0,0,0,Barbados,52,52,0,0,1,0,0,0,0,43,0,Barbados,Member State,0K,0,0%,2015
Non Latin Caribbean,GUY,GUY,0%,Guyana,Guyana,"October, 2015",0,0,0,0,Guyana,328,328,0,0,1,0,0,0,0,43,0,Guyana,Member State,0K,0,0%,2015
Non Latin Caribbean,JAM,JAM,0%,Jamaica,Jamaica,"October, 2015",0,0,0,0,Jamaica,388,388,0,0,1,0,0,0,0,43,0,Jamaica,Member State,0K,0,0%,2015
Non Latin Caribbean,VCT,VCT,0%,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,"October, 2015",0,0,0,0,San Vicente y las Granadinas,670,670,0,0,1,0,0,0,0,43,0,St. Vincent and the Grenadines,Member State,0K,0,0%,2015
Non Latin Caribbean,SUR,SUR,0%,Suriname,Suriname,"October, 2015",0,0,0,0,Suriname,740,740,0,0,1,0,0,0,0,43,0,Suriname,Member State,0K,0,0%,2015
Non Latin Caribbean,TTO,TTO,0%,Trinidad and Tobago,Trinidad and Tobago,"October, 2015",0,0,0,0,Trinidad y Tobago,780,780,0,0,1,0,0,0,0,43,0,Trinidad and Tobago,Member State,0K,0,0%,2015
North America,MEX,MEX,0%,Mexico,Mexico,"October, 2015",0,0,0,0,México,484,484,0,0,1,0,0,0,0,43,0,Mexico,Member State,0K,0,0%,2015
South Cone,BRA,BRA,0%,Brazil,Brazil,"October, 2015",0,0,0,0,Brasil,76,76,0,0,1,0,0,0,0,43,0,Brazil,Member State,0K,0,0%,2015
South Cone,PRY,PRY,0%,Paraguay,Paraguay,"October, 2015",0,0,0,0,Paraguay,600,600,0,0,1,0,0,0,0,43,0,Paraguay,Member State,0K,0,0%,2015
Non Latin Caribbean,VIR,VIR,0%,United States Virgin Islands,United States Virgin Islands,"October, 2015",0,0,0,0,Islas Vírgenes (EUA),850,850,0,0,1,0,0,0,0,43,0,United States of America,Other,0K,0,0%,2015
Latin Caribbean,MAF,MAF,0%,Saint Martin,Saint Martin,"October, 2015",0,0,0,0,Isla de San Martín (Francia),663,663,0,0,1,0,0,0,0,43,0,France,Overseas collectivities,0K,0,0%,2015
Latin Caribbean,GLP,GLP,0%,Guadeloupe,Guadeloupe,"October, 2015",0,0,0,0,Guadalupe,312,312,0,0,1,0,0,0,0,43,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,GUF,GUF,0%,French Guiana,French Guiana,"October, 2015",0,0,0,0,Guayana Francesa,254,254,0,0,1,0,0,0,0,43,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,MTQ,MTQ,0%,Martinique,Martinique,"October, 2015",0,0,0,0,Martinica,474,474,0,0,1,0,0,0,0,43,0,France,Participating State \Territory,0K,0,0%,2015
Non Latin Caribbean,BES,BES,0%,Bonaire,"Bonaire, Saint Eustatius and Saba","October, 2015",0,0,0,0,"Bonaire, San Eustaquio y Saba",535,535,0,0,1,0,0,0,0,43,0,Netherlands,Participating State \Territory,0K,0,0%,2015
Non Latin Caribbean,SUR,SUR,400%,Suriname,Suriname,"November, 2015",0,0,0,4,Suriname,740,740,0,0,1,0,0,0,0,44,0,Suriname,Member State,0K,0,0%,2015
Latin Caribbean,PRI,PRI,0%,Puerto Rico,Puerto Rico,"November, 2015",0,0,0,0,Puerto Rico,630,630,0,0,1,0,0,0,0,44,0,United States,Associated Member,0K,0,0%,2015
Latin Caribbean,PRI,PRI,0%,Puerto Rico,Puerto Rico,"November, 2015",0,0,0,0,Puerto Rico,630,630,0,0,1,0,0,0,0,45,0,United States,Associated Member,0K,0,0%,2015
Non Latin Caribbean,ABW,ABW,0%,Aruba,Aruba,"November, 2015",0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,44,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,CUW,CUW,0%,Curacao,Curacao,"November, 2015",0,0,0,0,Curazao,531,531,0,0,1,0,0,0,0,44,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,SXM,SXM,0%,Sint Maarten,Sint Maarten,"November, 2015",0,0,0,0,Isla de San Martín (Holanda),534,534,0,0,1,0,0,0,0,44,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,ABW,ABW,0%,Aruba,Aruba,"November, 2015",0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,45,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,CUW,CUW,0%,Curacao,Curacao,"November, 2015",0,0,0,0,Curazao,531,531,0,0,1,0,0,0,0,45,0,Netherlands,Associated Member,0K,0,0%,2015
