PolicyId,EnrollDate,CancelDate,MonthlyPremium
725365,2015-08-17,NULL,14.13
725383,2015-08-17,NULL,18.32
725408,2015-08-17,NULL,21.16
725415,2015-08-17,2016-05-16,23.13
725565,2015-08-17,NULL,25.25
725608,2015-08-17,NULL,38.05
725626,2015-08-18,NULL,19.05
99481,2010-12-17,NULL,57.85
99617,2010-12-17,2016-06-01,14.93
99635,2010-12-18,NULL,20.67
725701,2015-08-18,NULL,27.93
725908,2015-08-18,2016-10-13,10.43
725951,2015-08-18,NULL,19.29
726090,2015-08-18,NULL,28.51
99842,2010-12-19,NULL,17.50
726208,2015-08-18,NULL,16.09
726233,2015-08-18,NULL,25.58
726251,2015-08-18,2016-08-31,33.15
334125,2013-06-01,NULL,20.89
334275,2013-06-03,NULL,19.70
334293,2013-06-01,NULL,28.26
334325,2013-06-29,NULL,33.32
334411,2013-06-25,2016-03-05,24.38
334493,2013-06-02,2016-09-10,32.54
334543,2013-06-02,NULL,36.58
728548,2015-08-22,NULL,27.98
728573,2015-08-22,NULL,21.69
728648,2015-08-22,NULL,36.77
728798,2015-08-24,NULL,23.13
728898,2015-08-23,NULL,31.80
729059,2015-08-23,2016-04-25,16.61
729066,2015-08-23,NULL,27.76
729134,2015-08-24,2016-03-24,20.59
729234,2015-08-24,NULL,34.54
729241,2015-08-24,NULL,12.97
729252,2015-08-24,NULL,16.67
729366,2015-08-24,2016-09-01,34.10
729384,2015-08-24,NULL,31.24
729409,2015-08-24,NULL,22.18
729416,2015-08-24,NULL,30.18
729520,2015-08-24,NULL,16.93
729709,2015-08-25,2016-06-30,19.19
729727,2015-08-25,NULL,15.56
729759,2015-08-25,NULL,22.34
729795,2015-08-25,NULL,26.44
474963,2014-05-02,NULL,25.89
475056,2014-05-02,2016-06-20,27.68
475081,2014-05-02,2016-07-29,21.47
586578,2015-01-10,NULL,50.67
586617,2015-01-02,NULL,14.55
586653,2014-12-13,NULL,25.30
586960,2014-12-14,NULL,32.33
587210,2014-12-15,NULL,22.57
587228,2014-12-15,2016-10-29,15.74
587235,2014-12-15,NULL,35.90
587310,2014-12-15,NULL,34.42
587385,2014-12-15,NULL,18.21
587489,2014-12-15,NULL,39.64
587596,2014-12-16,NULL,12.97
587721,2014-12-16,NULL,18.00
587803,2014-12-16,NULL,18.34
587864,2014-12-16,NULL,23.27
731699,2015-09-24,NULL,36.71
731806,2015-08-28,NULL,13.81
731967,2015-08-28,NULL,61.08
731992,2015-08-28,NULL,34.94
731999,2015-08-28,NULL,25.04
732174,2015-08-28,NULL,39.87
732374,2015-08-29,NULL,17.20
732392,2015-08-29,NULL,37.28
732442,2015-08-29,NULL,17.41
732553,2015-08-29,2016-02-15,10.67
732560,2015-08-29,2016-02-15,10.86
732610,2015-08-29,NULL,46.16
732803,2015-08-30,2016-03-31,26.22
732853,2015-08-30,2016-09-01,14.67
732860,2015-08-30,NULL,14.70
732935,2015-08-30,2016-01-04,18.37
732985,2015-08-30,NULL,20.67
591154,2015-01-20,NULL,23.71
734882,2015-09-02,2016-09-15,26.61
734900,2015-09-02,NULL,19.29
734932,2015-09-02,NULL,19.78
734943,2015-09-02,2016-07-19,28.70
735000,2015-09-02,2016-06-10,23.68
735107,2015-10-02,NULL,11.34
735118,2015-09-22,NULL,13.91
735218,2015-09-03,NULL,13.79
735243,2015-09-03,2016-05-27,29.33
735418,2015-09-23,NULL,43.46
735475,2015-09-03,NULL,17.89
735525,2015-09-03,2016-06-15,22.28
735825,2015-09-04,NULL,16.85
735875,2015-09-04,NULL,10.93
735893,2015-09-04,NULL,17.27
735986,2015-09-04,NULL,13.31
738126,2015-09-09,NULL,18.59
738133,2015-10-06,2016-12-13,42.38
738140,2015-09-09,NULL,24.35
738208,2015-09-09,NULL,21.27
738251,2015-09-09,NULL,19.92
738269,2015-09-09,NULL,33.20
738308,2015-09-30,NULL,19.23
841242,2016-03-14,NULL,26.20
841256,2016-03-14,NULL,55.56
841281,2016-03-14,NULL,26.49
841331,2016-03-14,2016-09-06,17.55
841349,2016-03-14,NULL,14.30
841424,2016-03-14,NULL,32.13
841442,2016-04-05,NULL,19.47
841244,2016-03-14,NULL,21.06
841311,2016-03-14,NULL,51.51
841347,2016-04-02,NULL,18.25
841411,2016-03-14,NULL,28.79
841412,2016-03-14,NULL,39.83
841530,2016-03-15,NULL,46.83
841547,2016-03-15,NULL,15.74
841761,2016-03-15,NULL,45.52
841829,2016-03-15,NULL,24.96
841879,2016-04-12,NULL,25.68
841997,2016-04-13,NULL,29.24
238910,2012-09-04,NULL,26.88
239210,2012-08-09,NULL,17.30
239263,2012-08-09,NULL,29.80
239277,2012-08-09,NULL,24.76
239428,2012-09-02,NULL,27.33
239445,2012-08-10,NULL,26.45
239678,2012-08-11,NULL,32.65
239831,2012-08-12,NULL,27.23
239832,2012-08-12,NULL,25.50
239863,2012-08-12,NULL,35.25
239946,2012-08-12,NULL,31.21
239996,2012-08-13,NULL,47.00
240132,2012-08-13,NULL,11.84
240250,2012-08-14,2016-09-10,16.32
240263,2012-08-22,2016-11-08,9.08
240313,2012-08-14,NULL,21.40
240364,2012-08-14,NULL,70.41
240464,2012-08-14,NULL,13.60
240482,2012-08-14,NULL,41.74
240567,2012-08-14,NULL,49.01
240599,2012-08-14,NULL,29.20
240731,2012-08-15,NULL,18.48
240967,2012-08-15,NULL,12.27
241149,2012-08-16,NULL,18.02
241236,2012-08-16,NULL,28.34
241353,2012-08-17,NULL,18.23
241817,2012-09-15,NULL,22.10
241885,2012-08-19,2016-08-10,27.67
241904,2012-08-19,NULL,13.75
242003,2012-08-19,NULL,13.75
242104,2012-08-20,NULL,50.90
242186,2012-08-20,NULL,19.23
242235,2012-09-18,NULL,16.60
242371,2012-08-21,NULL,14.50
242572,2012-08-21,NULL,20.10
242789,2012-08-22,NULL,31.33
242940,2012-08-22,NULL,16.60
243154,2012-08-23,NULL,26.69
243272,2012-08-23,NULL,45.36
243307,2012-09-22,NULL,14.14
243357,2012-08-23,NULL,15.18
243422,2012-08-24,NULL,18.77
243690,2012-08-24,2016-03-25,19.23
243725,2012-09-24,NULL,22.28
243726,2012-08-25,NULL,18.90
243775,2012-09-24,NULL,13.43
243907,2012-09-24,NULL,52.21
244143,2012-08-27,NULL,32.33
244276,2012-08-27,NULL,41.09
244294,2012-08-27,NULL,24.84
244394,2012-08-27,NULL,40.50
244543,2012-08-28,NULL,21.45
244608,2012-08-28,NULL,25.63
244726,2012-08-28,NULL,14.22
244729,2012-08-28,NULL,35.56
244761,2012-08-28,NULL,17.74
244811,2012-08-29,NULL,9.60
244812,2012-08-29,NULL,17.20
244861,2012-08-29,NULL,43.13
245212,2012-09-19,NULL,22.73
245243,2012-08-30,2016-08-31,12.34
245261,2012-08-30,2016-11-28,43.48
245347,2012-10-04,NULL,43.25
245362,2012-08-30,NULL,27.52
245561,2012-08-31,NULL,23.07
245597,2012-08-31,NULL,44.40
245962,2012-09-14,NULL,18.66
246112,2012-09-02,NULL,39.98
246179,2012-09-03,NULL,22.02
246216,2012-09-03,2016-08-29,17.98
246366,2012-09-04,NULL,14.86
246380,2012-09-04,NULL,29.88
246397,2012-09-04,NULL,24.04
246565,2012-10-01,NULL,17.27
246701,2012-09-05,NULL,9.90
246833,2012-09-26,NULL,23.58
246865,2012-09-05,NULL,26.08
246933,2012-09-05,NULL,42.40
246948,2012-09-05,NULL,20.31
247048,2012-09-06,NULL,11.00
247101,2012-09-06,NULL,32.55
247102,2012-09-06,NULL,16.31
247116,2012-09-06,NULL,26.08
247166,2012-09-06,NULL,58.98
247169,2012-09-06,NULL,19.03
247219,2012-09-06,NULL,18.00
247301,2012-09-06,NULL,53.43
247319,2012-09-20,NULL,25.05
247369,2012-10-05,NULL,21.43
247402,2012-09-07,NULL,34.26
247601,2012-09-07,NULL,28.49
458628,2014-03-28,NULL,31.15
458681,2014-03-28,NULL,15.05
458714,2014-03-28,NULL,29.53
458963,2014-03-28,NULL,42.90
843719,2016-03-18,2016-12-13,27.62
843784,2016-03-18,NULL,20.62
843837,2016-04-15,NULL,25.56
843870,2016-03-18,NULL,23.57
843902,2016-03-19,NULL,24.25
843937,2016-03-19,NULL,27.69
843951,2016-04-14,NULL,32.95
844001,2016-03-19,NULL,26.05
844287,2016-03-19,NULL,28.90
844437,2016-03-20,NULL,15.72
327703,2013-05-15,2016-05-25,34.60
327840,2013-05-26,NULL,18.99
846759,2016-03-24,NULL,16.51
581749,2014-12-05,NULL,19.00
581903,2014-12-05,NULL,50.77
581918,2014-12-05,NULL,37.32
582017,2014-12-05,NULL,22.00
582050,2014-12-05,2016-06-15,20.01
582235,2015-01-02,NULL,30.62
582250,2014-12-06,NULL,24.77
582686,2014-12-06,NULL,24.76
582704,2014-12-06,NULL,25.60
846892,2016-03-24,NULL,16.41
846910,2016-03-24,2016-04-11,18.27
846928,2016-03-24,2016-05-24,16.41
847077,2016-03-24,NULL,24.28
847109,2016-03-24,NULL,21.76
847127,2016-03-24,2016-05-23,22.67
847177,2016-03-25,NULL,21.58
847278,2016-04-22,NULL,47.06
847313,2016-03-25,NULL,36.45
847327,2016-04-11,NULL,26.08
11521,2004-05-10,NULL,16.92
11589,2005-04-14,NULL,56.57
471132,2014-05-10,NULL,12.90
11689,2005-02-23,NULL,82.53
11704,2002-02-19,2016-02-09,20.94
11707,2004-05-20,NULL,41.14
11772,2005-08-11,NULL,23.81
11807,2007-08-19,NULL,92.74
11889,2004-10-28,2016-08-02,33.01
12021,2005-10-14,NULL,27.07
12039,2007-09-05,NULL,25.59
12054,2007-09-10,NULL,58.52
12071,2007-10-14,2016-09-03,56.13
12108,2007-10-26,NULL,40.19
12122,2007-10-02,NULL,23.24
335477,2013-06-28,NULL,19.02
335491,2013-06-29,2016-06-20,34.90
335492,2013-06-04,NULL,32.01
335577,2013-06-05,NULL,14.66
335624,2013-06-29,NULL,34.83
471982,2014-04-26,2016-08-23,32.69
472118,2014-04-26,NULL,21.68
472317,2014-04-27,NULL,17.34
472318,2014-04-27,NULL,17.06
472336,2014-04-27,NULL,20.99
472399,2014-04-27,NULL,37.93
472450,2014-04-27,NULL,36.87
472500,2014-04-27,NULL,27.83
472567,2014-04-28,2016-10-03,29.95
472686,2014-04-28,NULL,8.49
472703,2014-04-28,NULL,60.88
472935,2014-05-19,NULL,20.04
473068,2014-04-29,2016-06-02,14.06
473168,2014-04-29,NULL,24.76
473236,2014-04-29,NULL,54.53
473286,2014-04-29,2016-12-09,12.78
473403,2014-04-29,NULL,15.00
473486,2014-05-26,2016-02-06,39.65
473489,2014-04-29,NULL,25.76
473521,2014-04-30,NULL,47.78
473522,2014-04-30,NULL,47.78
102620,2011-01-03,NULL,18.70
102638,2011-01-03,NULL,30.33
102670,2011-01-31,NULL,32.21
102837,2011-01-04,NULL,16.59
103073,2011-01-05,NULL,39.40
103106,2011-01-05,NULL,37.93
103124,2011-01-05,NULL,35.70
103155,2011-01-05,NULL,34.69
103238,2011-01-05,NULL,31.73
103256,2011-01-05,NULL,20.49
103291,2011-01-06,NULL,39.27
103338,2011-01-06,2016-11-01,18.26
103723,2011-01-08,2016-07-03,7.79
103942,2011-01-09,NULL,28.02
104092,2011-01-10,NULL,33.48
104177,2011-01-10,2016-02-04,35.72
104277,2011-01-11,NULL,27.92
104310,2011-02-08,NULL,30.03
104560,2011-01-12,NULL,32.10
104577,2011-01-12,NULL,40.88
104742,2011-01-13,NULL,52.87
104759,2011-01-13,NULL,38.81
104792,2011-01-13,NULL,23.73
104945,2011-01-14,2016-12-16,18.35
105010,2011-01-14,NULL,23.93
105095,2011-01-15,NULL,18.22
105177,2011-01-15,NULL,25.85
105178,2011-01-15,NULL,30.59
105263,2011-01-15,NULL,34.12
105313,2011-01-16,NULL,65.53
105413,2011-01-17,NULL,45.37
105510,2011-01-17,NULL,42.34
105546,2011-01-17,NULL,76.90
105745,2011-01-18,NULL,26.53
105764,2011-01-18,NULL,28.34
105864,2011-01-18,NULL,29.59
105895,2011-01-18,NULL,20.00
855451,2016-04-09,NULL,25.78
855569,2016-04-15,NULL,25.22
92745,2010-11-09,NULL,18.92
92995,2010-11-10,2016-11-22,38.84
93010,2010-11-10,NULL,20.94
93013,2010-11-10,NULL,39.49
93078,2010-11-11,NULL,19.98
841567,2016-03-15,NULL,8.13
841635,2016-03-15,2016-09-16,16.37
841685,2016-03-15,NULL,22.10
841774,2016-03-15,2016-08-05,26.43
841849,2016-03-15,NULL,21.61
841867,2016-03-15,2016-03-21,12.64
841885,2016-03-15,NULL,25.79
841910,2016-03-15,NULL,23.17
458683,2014-04-18,NULL,18.36
458726,2014-03-28,NULL,22.34
458944,2014-03-28,NULL,20.79
458958,2014-03-28,2016-08-28,8.68
458969,2014-03-28,NULL,25.77
461427,2014-04-03,NULL,16.70
461441,2014-04-28,2016-03-08,22.49
720442,2015-09-06,NULL,32.67
720592,2015-08-09,NULL,11.76
720885,2015-09-01,NULL,9.82
720978,2015-08-10,2016-08-17,26.69
721046,2015-08-10,NULL,32.65
721289,2015-08-10,NULL,23.83
721303,2015-08-10,NULL,32.43
721403,2015-08-10,NULL,33.12
721489,2015-08-10,NULL,25.62
721571,2015-08-11,NULL,13.01
721596,2015-08-11,NULL,19.44
721639,2015-08-11,NULL,36.10
721739,2015-08-11,2016-12-01,19.18
721939,2015-08-11,2016-05-25,14.03
721946,2015-08-11,NULL,17.58
722057,2015-08-11,NULL,16.67
843721,2016-03-18,NULL,33.17
843807,2016-03-18,2016-12-28,26.54
843832,2016-03-18,NULL,35.98
843839,2016-03-18,NULL,28.42
844139,2016-03-19,2016-09-17,25.38
844175,2016-03-19,NULL,19.68
844250,2016-03-19,NULL,20.44
844264,2016-03-19,NULL,14.76
844382,2016-03-19,NULL,23.89
844407,2016-03-20,2016-11-07,23.78
722382,2015-08-12,NULL,40.76
722407,2015-08-12,NULL,32.59
722425,2015-08-12,NULL,39.01
722475,2015-08-12,NULL,48.83
722507,2015-08-12,NULL,10.67
722682,2015-08-12,NULL,16.38
722689,2015-08-12,2016-08-18,80.06
722775,2015-08-12,NULL,53.92
722850,2015-08-13,NULL,17.76
722857,2015-08-13,NULL,16.95
722875,2015-08-13,NULL,55.05
722882,2015-08-13,NULL,16.79
722950,2015-09-13,NULL,8.91
723100,2015-08-13,NULL,22.38
723132,2015-08-13,NULL,11.97
723211,2015-08-13,NULL,28.36
723243,2015-08-13,NULL,23.17
723261,2015-08-13,NULL,19.19
723418,2015-08-17,2016-06-26,22.74
723486,2015-08-14,NULL,19.43
723518,2015-08-14,NULL,18.61
723625,2015-08-14,2016-09-17,25.79
327641,2013-05-15,NULL,27.85
846833,2016-03-24,2016-05-30,22.58
581837,2014-12-05,NULL,57.03
582080,2014-12-05,NULL,14.86
582291,2014-12-06,NULL,10.68
582366,2014-12-06,NULL,26.71
582430,2015-01-04,NULL,24.05
582441,2014-12-06,NULL,18.06
582716,2014-12-06,NULL,17.68
582923,2014-12-07,NULL,8.21
846933,2016-03-24,2016-09-07,21.35
847122,2016-03-24,NULL,20.82
847190,2016-03-25,NULL,10.60
847233,2016-03-25,NULL,36.31
847240,2016-03-25,NULL,35.90
847265,2016-03-25,NULL,10.70
847308,2016-03-25,NULL,18.55
11484,2001-06-21,NULL,42.04
11566,2005-04-17,NULL,37.94
11709,2003-05-28,NULL,27.72
11777,2007-08-04,NULL,20.63
11802,2007-09-15,NULL,65.43
11809,2007-08-20,NULL,31.62
12020,2005-10-21,NULL,22.40
12027,2005-10-24,NULL,25.38
12077,2007-10-16,NULL,29.84
12095,2007-10-20,NULL,55.73
12109,2007-10-26,2016-07-22,42.08
332714,2013-05-29,NULL,24.73
332914,2013-05-30,NULL,20.25
332921,2013-05-30,NULL,54.59
332939,2013-05-30,NULL,18.20
472805,2014-04-29,NULL,18.52
472891,2014-05-28,NULL,19.21
472923,2014-05-23,NULL,15.65
472941,2014-04-28,NULL,21.66
472966,2014-04-28,NULL,30.69
473016,2014-04-29,NULL,41.54
473109,2014-04-29,NULL,31.40
473209,2014-04-29,2016-05-12,25.64
473334,2014-04-29,NULL,33.93
730170,2015-08-25,NULL,31.84
730188,2015-08-25,NULL,23.74
730245,2015-08-25,NULL,68.88
730295,2015-09-21,NULL,35.17
730470,2015-08-26,NULL,12.73
730495,2015-09-19,NULL,19.56
730513,2015-08-26,NULL,31.20
730538,2015-08-26,2016-07-20,126.24
730595,2015-08-26,NULL,20.15
730613,2015-08-26,NULL,28.76
730620,2015-08-26,NULL,21.36
730781,2015-09-22,NULL,41.47
730813,2015-08-26,NULL,14.90
730870,2015-08-26,NULL,29.65
730913,2015-08-27,2016-04-11,21.74
730920,2015-08-27,2016-04-26,20.88
730974,2015-08-27,NULL,35.90
731013,2015-09-19,NULL,14.80
731038,2015-08-27,NULL,30.73
731188,2015-08-27,2016-10-26,19.30
731331,2015-08-27,NULL,18.80
731449,2015-08-27,NULL,11.69
733335,2015-08-31,NULL,21.36
733421,2015-08-31,NULL,28.38
733453,2015-08-31,2016-10-03,26.71
733528,2015-08-31,NULL,28.91
733546,2015-08-31,NULL,12.94
733603,2015-08-31,NULL,15.33
733796,2015-09-01,2016-08-12,32.87
733853,2015-09-01,NULL,12.56
733871,2015-09-28,NULL,23.27
733921,2015-09-01,NULL,25.70
733946,2015-09-01,NULL,33.63
734039,2015-09-01,NULL,25.37
734089,2015-09-01,NULL,24.92
734171,2015-09-01,NULL,16.06
734182,2015-09-01,NULL,48.84
734232,2015-10-01,NULL,41.95
734339,2015-09-01,NULL,44.71
734575,2015-09-02,2016-08-02,28.68
734639,2015-09-02,2016-10-13,15.19
734664,2015-09-02,2016-02-04,23.07
734725,2015-10-01,NULL,39.23
200729,2012-03-24,NULL,47.61
200929,2012-03-25,NULL,32.43
200961,2012-03-25,NULL,36.50
201004,2012-03-25,NULL,29.96
201011,2012-03-25,2016-04-05,11.77
201197,2012-03-26,2016-12-30,20.86
201422,2012-04-23,NULL,39.40
201454,2012-03-27,NULL,16.78
201636,2012-03-28,NULL,12.89
201661,2012-03-28,NULL,29.54
201704,2012-03-28,NULL,17.72
201715,2012-03-28,NULL,26.97
201772,2012-03-28,NULL,25.50
201804,2012-03-28,2016-01-05,33.58
201965,2012-03-29,NULL,37.02
202040,2012-03-29,NULL,24.32
202140,2012-03-29,NULL,13.88
202172,2012-03-29,NULL,24.22
202190,2012-03-30,NULL,22.77
202208,2012-03-30,NULL,41.89
202390,2012-03-30,NULL,8.73
202408,2012-03-30,NULL,40.94
202415,2012-03-30,2016-12-30,21.73
202615,2012-03-31,NULL,59.32
202622,2012-03-31,2016-07-09,51.31
202640,2012-03-31,NULL,28.78
202708,2012-04-01,2016-03-22,28.80
202815,2012-04-01,NULL,31.29
202940,2012-04-02,NULL,28.75
202958,2012-04-02,2016-07-07,29.60
203183,2012-04-03,NULL,25.26
203194,2012-04-03,NULL,14.40
203426,2012-04-03,NULL,26.07
203444,2012-04-04,NULL,20.38
203587,2012-04-04,NULL,17.43
203662,2012-04-04,NULL,24.12
203826,2012-04-05,NULL,54.80
203987,2012-04-06,NULL,18.86
204076,2012-04-06,NULL,16.10
204280,2012-05-07,NULL,22.90
204337,2012-04-08,NULL,14.60
204355,2012-04-27,2016-05-28,32.32
204412,2012-04-08,NULL,12.21
204605,2012-04-09,NULL,17.90
204630,2012-04-09,NULL,11.71
204680,2012-04-09,NULL,8.24
205191,2012-04-11,NULL,11.24
205266,2012-04-11,2016-08-15,22.46
205298,2012-04-11,NULL,43.35
205534,2012-04-12,NULL,21.17
205759,2012-04-12,NULL,65.37
205798,2012-04-13,2016-10-13,22.73
205873,2012-04-13,NULL,30.64
205916,2012-05-02,NULL,33.23
205934,2012-04-13,NULL,20.00
205984,2012-04-13,NULL,65.73
206027,2012-04-13,NULL,26.95
206084,2012-04-13,NULL,28.70
206184,2012-04-14,NULL,17.19
206252,2012-04-14,2016-04-13,21.82
3060,2009-05-23,NULL,12.66
3078,2009-05-27,NULL,40.69
3121,2009-08-30,NULL,39.99
3178,2009-09-05,NULL,24.34
3235,2009-05-23,NULL,72.09
3296,2009-09-10,NULL,43.30
3303,2009-09-11,NULL,26.82
3321,2009-09-13,2016-05-13,29.48
3335,2009-09-14,NULL,24.48
3353,2009-06-03,NULL,39.92
3510,2009-05-31,NULL,21.09
3578,2009-06-11,NULL,42.53
3664,2009-06-15,NULL,43.22
3696,2009-06-19,NULL,22.67
3721,2009-06-23,NULL,16.96
10,2008-04-02,NULL,46.00
752095,2015-10-29,NULL,41.21
886397,2016-06-06,NULL,13.49
946272,2016-09-12,NULL,19.15
959633,2016-11-02,NULL,30.14
460331,2014-04-01,NULL,17.27
4947,2009-12-04,2016-02-13,27.02
4956,2009-12-06,NULL,20.90
5092,2009-12-12,NULL,46.89
5258,2009-12-20,NULL,12.42
5285,2009-12-22,2016-04-03,21.08
5317,2002-03-05,NULL,37.56
5324,2005-05-31,NULL,11.00
5326,2005-04-11,NULL,84.75
5390,2009-07-31,NULL,22.52
5560,2001-11-28,2016-04-27,39.80
5649,2009-08-10,NULL,71.80
5753,2004-09-30,NULL,45.78
5758,2003-07-14,NULL,36.61
5826,2005-07-19,2016-09-10,67.88
5962,2002-12-10,NULL,63.52
5985,2005-03-18,2016-07-25,36.21
5994,2004-07-27,NULL,37.44
6053,2009-08-25,NULL,14.39
6128,2005-01-06,NULL,55.73
6153,2005-08-19,NULL,8.82
219605,2012-06-29,NULL,51.56
219714,2012-06-02,NULL,35.85
220112,2012-06-04,2016-11-14,13.70
220305,2012-06-05,NULL,19.63
220382,2012-06-05,NULL,30.33
220405,2012-07-05,NULL,23.99
220416,2012-06-05,NULL,48.84
220539,2012-06-05,NULL,19.52
220541,2012-06-15,NULL,18.22
220814,2012-06-27,NULL,22.95
220882,2012-06-06,NULL,27.12
220907,2012-06-17,NULL,27.77
221218,2012-07-05,NULL,24.98
221418,2012-07-05,2016-05-18,32.69
221684,2012-06-09,NULL,32.65
221709,2012-06-24,NULL,54.69
221745,2012-06-09,NULL,54.50
221775,2012-06-09,NULL,17.59
221777,2012-07-06,NULL,49.38
222054,2012-07-12,NULL,25.17
222077,2012-07-02,2016-09-01,59.81
222343,2012-06-12,NULL,25.06
222813,2012-06-13,NULL,16.58
222920,2012-06-13,NULL,17.71
222990,2012-06-13,NULL,45.53
223045,2012-06-14,NULL,8.47
223054,2012-06-14,NULL,35.94
223079,2012-07-11,NULL,23.64
223149,2012-06-14,NULL,27.52
223156,2012-06-14,NULL,17.03
223179,2012-06-14,NULL,31.15
223213,2012-06-23,NULL,15.27
223322,2012-06-15,NULL,16.10
223656,2012-06-16,NULL,18.79
223983,2012-06-17,NULL,10.78
224224,2012-07-11,NULL,13.89
224292,2012-06-18,NULL,44.13
224326,2012-07-19,NULL,35.09
224519,2012-07-19,NULL,29.53
224694,2012-06-20,NULL,61.52
224717,2012-07-17,NULL,20.36
224887,2012-06-20,NULL,24.21
225060,2012-06-21,NULL,40.36
225096,2012-06-21,NULL,29.55
95663,2010-11-24,NULL,37.17
95708,2010-12-22,2016-09-22,26.12
96065,2010-11-28,NULL,17.19
96067,2010-11-28,NULL,13.81
96176,2010-11-29,NULL,37.20
96197,2010-11-29,NULL,33.93
96206,2010-11-29,NULL,9.61
96231,2010-11-29,NULL,12.28
96535,2010-11-30,NULL,25.23
96710,2010-12-01,NULL,39.26
96767,2010-12-01,NULL,22.17
464216,2014-04-09,NULL,22.00
464218,2014-04-09,NULL,25.08
464284,2014-05-06,NULL,35.52
464507,2014-05-07,NULL,27.49
464541,2014-04-10,NULL,38.84
464577,2014-04-10,NULL,18.16
464584,2014-04-10,NULL,37.80
