crop_type,year,harvest_product,total_harvested,harvested_unit,field_id,org_id
CROP.CORN.COMMERCIAL,2015,grain,10585.85949,bu,3ecb07dfe2886a452d827ba5be310bef04548353,2a7365d841e79f504f0c5c55267a87f501e4d1e4
CROP.SOYBEAN.COMMERCIAL,2017,grain,30074.12601,bu,daeab438051b9d0a654659b7f038f08b44c184af,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,74250.42493,bu,58d04a7094c1b08e9856932a02104d2a36b7b8ce,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.SOYBEAN.COMMERCIAL,2015,grain,18769.43751,bu,1a0092b5af6d86bcb51d99bec0cffdbc19824481,dcf70d3a931a836d948e93429eb7dd4a9c9c718e
CROP.SOYBEAN.COMMERCIAL,2015,grain,33725.17068,bu,d0dd4d5942c57babf3fa32fefa8f36aaaff2628a,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.SOYBEAN.COMMERCIAL,2014,grain,9159.567352,bu,8901f562983ecebf44e9443be506c9f6269582e5,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.CORN.COMMERCIAL,2017,grain,26585.28214,bu,075041a114b9768612d10b7ea78b3d8cba71521c,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2015,grain,13638.81638,bu,3043cfa778d98f7970918f0f2958c4b6e9701c7d,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2017,grain,70470.84447,bu,4bd573dff142df79a5d4304a2b4b57bf680d5679,513612757cd6094d98b6a82a01d6f115fe9ae88c
CROP.CORN.COMMERCIAL,2015,grain,73595.86328,bu,cf3f6e86d543c52ee323a04feda488b347716f1e,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2017,grain,38042.55601,bu,aeea5833e9b4fe76ae2fa16f661171b82b95f2d5,106e6791d0f181b391cde800e74fdc14d529dc0a
CROP.CORN.COMMERCIAL,2016,grain,58553.44287,bu,fd72b33016dc565f97e287594573282d0ae29f08,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2015,grain,26757.65841,bu,b25ddb082807ff10842b24af3397decd61eb446b,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2016,grain,94516.1324,bu,1be078f7acaac4af4e74389d0607a5ae4d35e741,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2015,grain,7935.271949,bu,e092fbdd0996a08f5a9dc28a0b1ed1f37b18224f,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2017,grain,135090.6658,bu,5114f00a12710fde441de7d2e03bb2916cee21a1,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,48335.16847,bu,5ffe5f7993c967a9ec145605bb6bd6597f03b5e2,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2015,grain,102959.1624,bu,bed20ae41d9cc29734331ee52d0d94c884dc0caf,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.SOYBEAN.COMMERCIAL,2016,grain,2336.443301,bu,ce8405c765887b5dfb9f167609ba8610c9a9cd2b,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2016,grain,127701.0711,bu,66dec081f750e2d33394a88a4436242bfbdcf6da,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.SOYBEAN.COMMERCIAL,2015,grain,27136.01699,bu,7ba3d660afdf1b3554dfe5d132d0ebca193ff44a,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2015,grain,39666.21662,bu,6444e5cd8df1b4a6d3eeb968a30822e3e486bfaa,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2017,grain,25773.19971,bu,218d3434d02d0bf126a34855b96d469927a702c5,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2017,grain,110064.74,bu,69c89b5ddcff7650cd0f9d55843dc33a1dd9f613,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,48001.64444,bu,3145985e8b8fee648934025a6d5d96bdf680a101,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2016,grain,112879.1928,bu,479032f8ad3af44c0e5120cf27fc0dec97bf6e94,fe62dee029474d52346542845674529025594056
CROP.SOYBEAN.COMMERCIAL,2014,grain,13059.04785,bu,177980ee0fc6f8d942b7c218497a557ddeefeec7,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.CORN.COMMERCIAL,2016,grain,29448.47528,bu,ed3d9c187d573c0f69e896db96430dcbb17721c6,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2014,grain,28681.13329,bu,12e8e0ba6375b5cf8ab231802411666c0c55a150,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.SOYBEAN.COMMERCIAL,2017,grain,11872.25523,bu,12c6fc06c99a462375eeb3f43dfd832b08ca9e17,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2015,grain,65070.43511,bu,295f94fd307065b54d72fd025e8b476510592c9b,106e6791d0f181b391cde800e74fdc14d529dc0a
CROP.CORN.COMMERCIAL,2016,grain,56396.37366,bu,51131ad63306bbb3eeb0de920156180fd68be3c6,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2017,grain,56080.57508,bu,ce8405c765887b5dfb9f167609ba8610c9a9cd2b,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2015,grain,27107.45668,bu,5f826cc116841bfdbca273cebb21f470e602c75f,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.SOYBEAN.COMMERCIAL,2017,grain,13772.51018,bu,e5e9351797b81a62804e8797386dcb8b5f4be891,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2017,grain,1786.815399,bu,b78223432b759dedd332a6662cc614ef3e15b896,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2017,grain,12867.51778,bu,6a0a29666d8f8a14360dae95a0369dceb6561c6f,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2016,grain,61513.35756,bu,2b67e4d4271e5e1f189443e9370144d1c5a238aa,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,23894.10485,bu,0dd926eb22935abce9d072635fa3301d11ca51ad,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.SOYBEAN.COMMERCIAL,2015,grain,7316.440375,bu,a12eb00a8434d1f2f0f5819c2c644fa09793a333,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.SOYBEAN.COMMERCIAL,2016,grain,18644.91819,bu,daeab438051b9d0a654659b7f038f08b44c184af,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2016,grain,99504.66291,bu,643a0e8179a153aceafaff1307c9bc829ab398c6,fe62dee029474d52346542845674529025594056
CROP.SOYBEAN.COMMERCIAL,2017,grain,13688.92213,bu,05c019814ed3ff2c61eb97e267543564d23dd557,2498aa02bfe5084932147db868715faf88ffcb41
CROP.CORN.COMMERCIAL,2015,grain,22976.25718,bu,0ed36c4cebc9422c09599331d19995cf6410b513,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2015,grain,131033.9331,bu,3ecb07dfe2886a452d827ba5be310bef04548353,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2016,grain,57310.0386,bu,3448ab07e88349c86cc5d8d0eb3a9538e63e647d,106e6791d0f181b391cde800e74fdc14d529dc0a
CROP.CORN.COMMERCIAL,2015,grain,31137.44898,bu,769f173c007cadfd961696f2c3cff175da480678,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2016,grain,34450.44089,bu,36ad9561acb97f30194e784a297f011542f59433,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2017,grain,5437.648477,bu,acae71f7ed099a11cb511918d1be78df470139c5,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,170625.4329,bu,42352eb4d6f767b18afdd56d13f9abe653514d7d,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,13651.31855,bu,17ba0791499db908433b80f37c5fbc89b870084b,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2015,grain,43573.9541,bu,315645c27aa18fb735ae335b0e42692ac62e0558,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.SOYBEAN.COMMERCIAL,2014,grain,23030.85354,bu,efefc9519f82ea868be1741749c399d235d34c2c,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.CORN.COMMERCIAL,2015,grain,36016.71461,bu,c81eabfac15c03c8867033b500b510272b22d621,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.CORN.COMMERCIAL,2015,grain,25254.76426,bu,479032f8ad3af44c0e5120cf27fc0dec97bf6e94,fe62dee029474d52346542845674529025594056
CROP.SOYBEAN.COMMERCIAL,2017,grain,23129.1733,bu,6a91478980fbdf4d9229ae3a1174e3f90c50c63e,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2017,grain,58674.32622,bu,606ec6e9bd8a8ff2ad14e5fade3f264471e82251,106e6791d0f181b391cde800e74fdc14d529dc0a
CROP.SOYBEAN.COMMERCIAL,2016,grain,7258.481094,bu,fcd0248878ee8a137d57a8dc8f480436804e2189,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2016,grain,36602.52366,bu,3145985e8b8fee648934025a6d5d96bdf680a101,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,85902.56935,bu,ad7fa9fbe97f824282ac4d3b417fe0c69c175e34,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2017,grain,70707.41453,bu,88eed2e1356b84e6610ebfaeb70c8574a5715b92,106e6791d0f181b391cde800e74fdc14d529dc0a
CROP.CORN.COMMERCIAL,2016,grain,8554.555139,bu,a09813a9a38ac2b4fabba244175f9c685ab85a2a,462c9ed4acd1c1b5ec3b130f3101b54cd5a66bfb
CROP.CORN.COMMERCIAL,2017,grain,8785.625665,bu,fcd0248878ee8a137d57a8dc8f480436804e2189,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2016,grain,44195.94808,bu,f00ee652e072f384295e0c613eae882e2b075768,462c9ed4acd1c1b5ec3b130f3101b54cd5a66bfb
CROP.CORN.COMMERCIAL,2017,grain,118480.5666,bu,80814cf4aeb6592ebaac8e8ee16fce0792544976,bb2187d34c27359e4e0c513ba47b0451c42907e9
CROP.CORN.COMMERCIAL,2015,grain,18842.93342,bu,17ba0791499db908433b80f37c5fbc89b870084b,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2017,grain,85499.57344,bu,17ba0791499db908433b80f37c5fbc89b870084b,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2015,grain,10447.39117,bu,f3997889142dbd3aa390fb7d1ce33373eb768de5,106e6791d0f181b391cde800e74fdc14d529dc0a
CROP.CORN.COMMERCIAL,2014,grain,61716.61694,bu,c0bc76afd8a68866cbacda59ff3ef73f06eaf480,ced5d63baaa0323be6503a0fa952c684ddce8745
CROP.CORN.COMMERCIAL,2015,grain,36115.49526,bu,17ba0791499db908433b80f37c5fbc89b870084b,fe62dee029474d52346542845674529025594056
CROP.SOYBEAN.COMMERCIAL,2017,grain,4341.205051,bu,55de88709232ec03a7618ceae9b2248419fdc862,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2017,grain,41154.98592,bu,c612cc37cbe0bce705c851c59193bfc0b188a959,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2017,grain,43974.56481,bu,6735286b4dcaf5d2384816f5eb6d7b817a08087b,1d427ae4148dfebbd56f904a0de246fd89712cf0
CROP.SOYBEAN.COMMERCIAL,2016,grain,4641.040164,bu,4acf2d77af0d2a23020b0e33416f0f911435b6fb,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,42252.99902,bu,fdfe8207d8854099e09c1d58ddf7014b67f84351,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2017,grain,15515.12767,bu,17ba0791499db908433b80f37c5fbc89b870084b,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2016,grain,1728.620434,bu,6a0a29666d8f8a14360dae95a0369dceb6561c6f,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2017,grain,10959.96039,bu,427a6b025ef66fc4836d29b98b95c960fe08e378,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2016,grain,62898.46705,bu,b79c64434ae3f15a570da278b79f688253c6d9a8,462c9ed4acd1c1b5ec3b130f3101b54cd5a66bfb
CROP.CORN.COMMERCIAL,2015,grain,10355.82725,bu,4d5b90ee18d570ec6b0dc27f64e44ee714b71d72,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2017,grain,108968.6069,bu,2ddd1b7314344df9dfe64a2df07c15848174cd24,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2016,grain,29460.45553,bu,396eaf77e4048a0c54a12f5ccb988b0702d0e10c,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2017,grain,104642.7314,bu,1c1caf82f398c9e5dbfeaf116413b27070d49268,ced5d63baaa0323be6503a0fa952c684ddce8745
CROP.SOYBEAN.COMMERCIAL,2014,grain,9155.537097,bu,7918c722bf8c5bf47d3f06ab61ee7f16c90a2887,106e6791d0f181b391cde800e74fdc14d529dc0a
CROP.CORN.COMMERCIAL,2015,grain,6326.222728,bu,178feffbc01dd61b3c4afed7dbe93da9d5be38d9,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.CORN.COMMERCIAL,2015,grain,60174.463,bu,a45572f89b287b6bb219ddfc3320f0d842c0668e,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2017,grain,105821.2284,bu,17ba0791499db908433b80f37c5fbc89b870084b,fe62dee029474d52346542845674529025594056
CROP.SOYBEAN.COMMERCIAL,2015,grain,22322.903,bu,0d6715908b7df72d546bcc6ebf5fd54fe8a9b958,dcf70d3a931a836d948e93429eb7dd4a9c9c718e
CROP.CORN.COMMERCIAL,2015,grain,104495.9662,bu,17ba0791499db908433b80f37c5fbc89b870084b,fe62dee029474d52346542845674529025594056
CROP.SOYBEAN.COMMERCIAL,2014,grain,29828.50386,bu,790456c61a24b82fdf2acd866fe9722919cb6358,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.CORN.COMMERCIAL,2015,grain,56977.71183,bu,8ba906706d40e0a9388e9300c896213b17c07fe1,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.CORN.COMMERCIAL,2015,grain,29407.24221,bu,9713fdcb2ec5f9923f9aa99557a4deb89a994cde,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2015,grain,4818.71827,bu,fce9edd1be59a3ea7de72a19545c3c98f83a8e13,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.SOYBEAN.COMMERCIAL,2015,grain,9128.39691,bu,67d09b0030068eca4ae858121d513c7a9bd5970c,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.CORN.COMMERCIAL,2017,grain,41530.57033,bu,9dbaffe968f8b893078eefd7751f53bb2f71d6be,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2017,grain,34211.43031,bu,5d46bf793f8b21b368a8a2b78862bb9c4a8310da,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,83996.25173,bu,69c89b5ddcff7650cd0f9d55843dc33a1dd9f613,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2015,grain,12737.02801,bu,9e9c8e4268a5c8a1e7b33c2c768def1eed7d112a,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,120516.6122,bu,51131ad63306bbb3eeb0de920156180fd68be3c6,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2017,grain,4850.105185,bu,9713fdcb2ec5f9923f9aa99557a4deb89a994cde,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2015,grain,7575.507212,bu,bb3288e0ae109cf2ff0680d3eb4320744da0a3b5,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2015,grain,32925.75777,bu,a7a594dba3e25f7f4777042254dfd966214ca5cb,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2016,grain,27083.36711,bu,0cc1b0a8c09d8bb4ba14b926e63e5ad590c159b4,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2016,grain,55370.7458,bu,b25ddb082807ff10842b24af3397decd61eb446b,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2014,grain,66172.0879,bu,fb61c1795ca1134a7e2e5a365928075153bc39f7,fe62dee029474d52346542845674529025594056
CROP.SOYBEAN.COMMERCIAL,2015,grain,7387.169867,bu,c8bbed71d087906e4220f80842423ddd0c3a24eb,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2017,grain,78558.63097,bu,b578e6be1ede28c8999d8d0da70ab8a80bdbcd53,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2016,grain,4615.742243,bu,acae71f7ed099a11cb511918d1be78df470139c5,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,79421.07391,bu,1c76c34b420a86f361f5e307f03f7357197681c7,fe62dee029474d52346542845674529025594056
CROP.SOYBEAN.COMMERCIAL,2014,grain,34894.25241,bu,6c72c2cb8ac35f84e4cab5d22a9eb3c2e5783e69,106e6791d0f181b391cde800e74fdc14d529dc0a
CROP.CORN.COMMERCIAL,2015,grain,128109.8751,bu,dd0bde9a97b5e53d8987732d67c927bd8ddbae35,2a7365d841e79f504f0c5c55267a87f501e4d1e4
CROP.CORN.COMMERCIAL,2014,grain,92150.03841,bu,8e17580ff2a3fba21f19d533a34aa4b1ae628ee3,106e6791d0f181b391cde800e74fdc14d529dc0a
CROP.CORN.COMMERCIAL,2016,grain,38039.04254,bu,f78ee42b959d70983003027b2155344ae96c3fdb,462c9ed4acd1c1b5ec3b130f3101b54cd5a66bfb
CROP.CORN.COMMERCIAL,2015,grain,13069.3546,bu,82fe9486ee2491f15a25da2f13ee42b54b5660f7,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2015,grain,102132.9919,bu,ed892798892fbc43f7241677dfd67bd1d1441ad8,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.SOYBEAN.COMMERCIAL,2015,grain,13903.15187,bu,5d46bf793f8b21b368a8a2b78862bb9c4a8310da,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2015,grain,22637.37061,bu,b78223432b759dedd332a6662cc614ef3e15b896,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2014,grain,44175.84331,bu,0fb5444d94284696e133f8da830f054d6e9c7ea2,ced5d63baaa0323be6503a0fa952c684ddce8745
CROP.CORN.COMMERCIAL,2017,grain,101972.6855,bu,00ed44d041d6b0f8a538b2815fdb34b2dcee329c,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,25081.55914,bu,b1317c265f61658811844dd8afa6a782677ff0b5,106e6791d0f181b391cde800e74fdc14d529dc0a
CROP.CORN.COMMERCIAL,2015,grain,73386.12595,bu,aa4f77f51877dcb2894b5c34f62dd65c43edfa02,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2016,grain,78394.53672,bu,17ba0791499db908433b80f37c5fbc89b870084b,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2015,grain,94969.54603,bu,1a49329d95f4212cad1465abd97fe2b02b2d4e59,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2016,grain,24897.49006,bu,33471815b9e19098d4ce3b6758b8f277ae7a4be9,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2015,grain,27527.94078,bu,11ae1790351279c8c04f3d2d7f0331872814a0a3,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.CORN.COMMERCIAL,2017,grain,32062.58508,bu,b712ac1d4550a50dba54876abbfa22112c7e67fa,2ec53b20e3a9f6ff73d290ef3e8e8f30a2a30235
CROP.CORN.COMMERCIAL,2015,grain,80323.29912,bu,26721831498d576e84113c08f678a02921c5a63e,fe62dee029474d52346542845674529025594056
CROP.SOYBEAN.COMMERCIAL,2017,grain,7323.47409,bu,03074faf1987f5325db3e511880d28a582293c64,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2016,grain,13354.20757,bu,17ba0791499db908433b80f37c5fbc89b870084b,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2016,grain,55495.12153,bu,6682442ec01eee124d9a2b40f049d2036596b969,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2016,grain,29675.97981,bu,fa2e631ada6896a07feec8520cdee0e2c40b8f9c,fe62dee029474d52346542845674529025594056
CROP.SOYBEAN.COMMERCIAL,2017,grain,13813.30279,bu,ead54fc4085fba5da57ad64a34e8456d84ce1020,1d427ae4148dfebbd56f904a0de246fd89712cf0
CROP.SOYBEAN.COMMERCIAL,2017,grain,71285.65541,bu,ad7fa9fbe97f824282ac4d3b417fe0c69c175e34,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2016,grain,12572.33297,bu,c064f9a97c867c8596c916ad718d96c5ffa9e44c,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,42103.97707,bu,a620ca92bb4f0a8daaabfa8f198008da3313f9b7,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2015,grain,60454.79689,bu,8ae02a0435770133ab5db0512da97432f08e2040,2a7365d841e79f504f0c5c55267a87f501e4d1e4
CROP.SOYBEAN.COMMERCIAL,2015,grain,25239.63525,bu,b5ec6e3f6b7c589fb346987575673e2ed978c909,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.CORN.COMMERCIAL,2015,grain,74601.54274,bu,e06184ca39096dc276df72191cb5fb05b83ba1e6,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.SOYBEAN.COMMERCIAL,2015,grain,22981.27231,bu,1be078f7acaac4af4e74389d0607a5ae4d35e741,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,64644.18053,bu,98e85d8a9a8654d60c0052b0726fbd8948f646b5,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2015,grain,29582.64444,bu,17ba0791499db908433b80f37c5fbc89b870084b,fe62dee029474d52346542845674529025594056
CROP.SOYBEAN.COMMERCIAL,2015,grain,47402.86659,bu,12e8e0ba6375b5cf8ab231802411666c0c55a150,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.SOYBEAN.COMMERCIAL,2014,grain,6913.706198,bu,a75d5706275a773d0c4a4697783e9a8421a06844,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.CORN.COMMERCIAL,2015,grain,52615.15327,bu,295f94fd307065b54d72fd025e8b476510592c9b,106e6791d0f181b391cde800e74fdc14d529dc0a
