CSV Output,,
Proc Code(cpt4),proc_type,proc_description
750,CPT?-Procedure-Code,ANES UPPER ABDOMEN HERNIA REPAIR
752,CPT?-Procedure-Code,ANES LUMBAR/VENTRAL HERNIA REPAIR
756,CPT?-Procedure-Code,ANES DIAPHRAGM HERNIA REPAIR
770,CPT?-Procedure-Code,ANES MAJOR ABDOMEN VESSEL REPAIR
790,CPT?-Procedure-Code,ANESTHESIA UPPER ABDOMEN SURGERY
792,CPT?-Procedure-Code,ANESTHESIA PARTIAL LIVER REMOVAL
794,CPT?-Procedure-Code,ANESTHESIA FOR PANCREAS REMOVAL
797,CPT?-Procedure-Code,ANES GSTRC RSTRCT MORBID OBESITY
800,CPT?-Procedure-Code,ANES LOWER ABDOMINAL WALL SURG
810,CPT?-Procedure-Code,ANES LOWER INTESTINAL ENDOSCOPY
820,CPT?-Procedure-Code,ANES LOWER ABDOMINAL WALL SURG
830,CPT?-Procedure-Code,ANES LOWER ABDOMEN HERNIA REPAIR
832,CPT?-Procedure-Code,ANES LOWER ABDOMEN HERNIA REPAIR
840,CPT?-Procedure-Code,ANESTHESIA LOWER ABDOMEN SURGERY
844,CPT?-Procedure-Code,ANESTHESIA PELVIC SURGERY
846,CPT?-Procedure-Code,ANESTHESIA FOR RADICAL HYSTERECTOMY
851,CPT?-Procedure-Code,ANES FOR TUBAL LIGATION/TRANSECTION
860,CPT?-Procedure-Code,ANESTHESIA LOWER ABDOMEN SURGERY
862,CPT?-Procedure-Code,ANESTHESIA KIDNEY/URETER SURGERY
865,CPT?-Procedure-Code,ANES FOR RADICAL PROSTATECTOMY
868,CPT?-Procedure-Code,ANES RENAL TRANSPLANT RECIPIENT
872,CPT?-Procedure-Code,ANESTHESIA LITHOTRIPSY W/BATH
873,CPT?-Procedure-Code,ANESTHESIA LITHOTRIPSY W/O BATH
902,CPT?-Procedure-Code,ANESTHESIA FOR ANORECTAL PROCEDURE
910,CPT?-Procedure-Code,ANESTHESIA FOR BLADDER SURGERY
912,CPT?-Procedure-Code,ANESTHESIA BLADDER TUMOR SURGERY
914,CPT?-Procedure-Code,ANESTHESIA FOR PROSTATE REMOVAL
916,CPT?-Procedure-Code,ANESTHESIA POSTOP BLEEDING CONTROL
918,CPT?-Procedure-Code,ANESTHESIA URETER STONE REMOVAL
920,CPT?-Procedure-Code,ANES MALE GENITALIA SURGERY NOS
926,CPT?-Procedure-Code,ANESTH TESTIS REMOVAL INGUINAL
938,CPT?-Procedure-Code,ANESTH PENIS PROSTHESIS IMPLANT
940,CPT?-Procedure-Code,ANESTHESIA FOR VAGINAL PROCEDURES
942,CPT?-Procedure-Code,ANESTHESIA FOR VAGINAL SURGERY
944,CPT?-Procedure-Code,ANESTHESIA FOR VAGINAL HYSTERECTOMY
952,CPT?-Procedure-Code,ANES UTERINE ENDOSCOPY/HYSTEROSAL
10,Revenue Code,RESERVED INTERNAL PAYER USE
11,Revenue Code,RESERVED INTERNAL PAYER USE
1112,CPT?-Procedure-Code,ANES BONE MRW ASPIR/BPSY ILIAC CRST
1120,CPT?-Procedure-Code,ANESTHESIA FOR BONY PELVIS SURGERY
1160,CPT?-Procedure-Code,ANES PELVIS PROCEDURES CLOSED
1173,CPT?-Procedure-Code,ANESTH FX REPAIR PELVIS
1200,CPT?-Procedure-Code,ANESTHESIA FOR HIP JOINT PROCEDURE
1202,CPT?-Procedure-Code,ANESTHESIA FOR ARTHROSCOPY OF HIP
1210,CPT?-Procedure-Code,ANES HIP JOINT SURGERY OPEN
1214,CPT?-Procedure-Code,ANESTHESIA TOTAL HIP ARTHROPLASTY
1215,CPT?-Procedure-Code,ANES REVISE TOTAL HIP ARTHROPLASTY
1220,CPT?-Procedure-Code,ANES FEMUR PROCEDURES CLOSED
1230,CPT?-Procedure-Code,ANES FEMUR PROCEDURES OPEN
1232,CPT?-Procedure-Code,ANESTHESIA FOR FEMUR AMPUTATION
1250,CPT?-Procedure-Code,ANESTHESIA FOR UPPER LEG SURGERY
1260,CPT?-Procedure-Code,ANESTHESIA UPPER LEG VEIN SURGERY
1270,CPT?-Procedure-Code,ANESTH UPPER LEG ARTERY SURGERY
1274,CPT?-Procedure-Code,ANESTH FEMORAL ARTERY EMBOLECTOMY
1320,CPT?-Procedure-Code,ANESTHESIA FOR KNEE AREA SURGERY
1360,CPT?-Procedure-Code,ANESTHESIA LOWER FEMUR SURGERY
1380,CPT?-Procedure-Code,ANESTHESIA FOR KNEE JOINT PROCEDURE
1382,CPT?-Procedure-Code,ANESTHESIA KNEE JOINT ARTHROSCOPY
1392,CPT?-Procedure-Code,ANESTHESIA FOR KNEE AREA SURGERY
1400,CPT?-Procedure-Code,ANESTHESIA FOR KNEE JOINT SURGERY
1402,CPT?-Procedure-Code,ANESTH TOTAL KNEE ARTHROPLASTY
1462,CPT?-Procedure-Code,ANESTHESIA FOR LOWER LEG PROCEDURE
1464,CPT?-Procedure-Code,ANESTHESIA FOR ANKLE ARTHROSCOPY
1470,CPT?-Procedure-Code,ANESTHESIA LOWER LEG AREA SURGERY
1472,CPT?-Procedure-Code,ANESTHESIA ACHILLES TENDON SURGERY
1474,CPT?-Procedure-Code,ANESTHESIA FOR STRAYER PROCEDURE
1480,CPT?-Procedure-Code,ANESTHESIA LOWER LEG BONE SURGERY
1482,CPT?-Procedure-Code,ANESTHESIA FOR RADICAL LEG SURGERY
1484,CPT?-Procedure-Code,ANESTHESIA FOR LOWER LEG REVISION
1486,CPT?-Procedure-Code,ANESTHESIA TOTAL ANKLE REPLACEMENT
1500,CPT?-Procedure-Code,ANES LOWER LEG ARTERY SURGERY
1502,CPT?-Procedure-Code,ANESTHESIA LOWER LEG EMBOLECTOMY
1520,CPT?-Procedure-Code,ANESTHESIA LOWER LEG VEIN SURGERY
0159T,CPT?-Procedure-Code,CAD BREAST MRI
1610,CPT?-Procedure-Code,ANESTHESIA SHOULDER AREA SURGERY
1620,CPT?-Procedure-Code,ANES SHOULDER BONE PROCEDURE
1622,CPT?-Procedure-Code,ANESTHESIA FOR SHOULDER ARTHROSCOPY
1630,CPT?-Procedure-Code,ANESTHESIA SHOULDER BONE SURGERY
1638,CPT?-Procedure-Code,ANES TOTAL SHOULDER REPLACEMENT
1656,CPT?-Procedure-Code,ANES AXILLA-FEMORAL BYPASS GRAFT
1710,CPT?-Procedure-Code,ANESTHESIA FOR ELBOW AREA SURGERY
1712,CPT?-Procedure-Code,ANESTHESIA UPPERARM TENDON SURGERY
1730,CPT?-Procedure-Code,ANESTHESIA FOR UPPERARM PROCEDURE
1740,CPT?-Procedure-Code,ANESTHESIA FOR UPPER ARM SURGERY
1744,CPT?-Procedure-Code,ANESTHESIA HUMERAL UNION REPAIR
0174T,CPT?-Procedure-Code,CAD CXR WITH INTERP
1756,CPT?-Procedure-Code,ANESTHESIA RADICAL HUMERAL SURGERY
1772,CPT?-Procedure-Code,ANESTHESIA FOR UPPERARM EMBOLECTOMY
1810,CPT?-Procedure-Code,ANESTHESIA LOWER ARM AREA SURGERY
0181T,CPT?-Procedure-Code,CORNEAL HYSTERESIS
1820,CPT?-Procedure-Code,ANES LOWER ARM BONE PROCEDURE
1830,CPT?-Procedure-Code,ANES LOWER ARM BONE SURGERY
1844,CPT?-Procedure-Code,ANESTHESIA VASCULAR SHUNT SURGERY
19,Revenue Code,RESERVED INTERNAL PAYER USE
1916,CPT?-Procedure-Code,ANES DIAG ARTERIOGRAPHY/VENOGRAPHY
1920,CPT?-Procedure-Code,ANESTHESIA HEART CATHETERIZATION
1922,CPT?-Procedure-Code,ANESTHESIA FOR CAT OR MRI SCAN
1924,CPT?-Procedure-Code,ANES TX RAD PRCD ARTERIAL NOS
1925,CPT?-Procedure-Code,ANES TX RAD PRCD ART CAROTID/CORNRY
1926,CPT?-Procedure-Code,ANES TX RAD PRCD INTRACRA/CARD AORT
0192T,CPT?-Procedure-Code,INSERT ANT SEGMENT DRAIN EXT
1930,CPT?-Procedure-Code,ANES TX VENOUS NOS
1931,CPT?-Procedure-Code,ANES TX VENOUS INTRAHEP/PRTL CIRCUL
1935,CPT?-Procedure-Code,ANESTH PERC IMAGE DX SP PROC
1936,CPT?-Procedure-Code,ANESTH PERC IMAGE TX SP PROC
0195K,UNKNOWN Code,UNKNOWN Code
1961,CPT?-Procedure-Code,ANES FOR CESAREAN DELIVERY ONLY
1965,CPT?-Procedure-Code,ANESTH INC/MISSED AB PROC
1967,CPT?-Procedure-Code,NEURAXIAL ANLG/ANES PLND VAG DEL
1968,CPT?-Procedure-Code,CS DEL AFTER NEURAX ANLG/ANES LABOR
0197T,CPT?-Procedure-Code,INTRAFRACTION TRACK MOTION
1991,CPT?-Procedure-Code,ANESTH NERVE BLOCK/INJ
1992,CPT?-Procedure-Code,ANESTH N BLOCK/INJ PRONE
1996,CPT?-Procedure-Code,DAILY MANAGEMENT OF DRUG THERAPY
1999,CPT?-Procedure-Code,ANESTHESIA PROCEDURE NEC
22,Revenue Code,SNF PPS(RUG)
0226T,CPT?-Procedure-Code,ANOSCOPY HRA W/SPEC COLLECT
23,Revenue Code,HH PPS (HRG)
0230T,CPT?-Procedure-Code,NJX TFRML EPRL W/US LUMB/SAC
24,Revenue Code,REHAB PPS (CMG)
0295T,CPT?-Procedure-Code,EXT ECG COMPLETE
0296T,CPT?-Procedure-Code,EXT ECG RECORDING
0297T,CPT?-Procedure-Code,EXT ECG SCAN W/REPORT
0298T,CPT?-Procedure-Code,EXT ECG REVIEW AND INTERP
33,Revenue Code,RESERVED NATIONAL ASSIGNMENT
38,Revenue Code,RESERVED NATIONAL ASSIGNMENT
41,Revenue Code,RESERVED NATIONAL ASSIGNMENT
48,Revenue Code,RESERVED NATIONAL ASSIGNMENT
0500F,CPT?-Procedure-Code,INITIAL PRENATAL CARE VISIT
0503F,CPT?-Procedure-Code,POSTPARTUM CARE VISIT
0509F,CPT?-Procedure-Code,URINARY INCONT PLAN CARE DOC
0513F,CPT?-Procedure-Code,ELEV BP PLAN OF CARE DOC
0516F,CPT?-Procedure-Code,ANEMIA PLAN OF CARE DOC
0517F,CPT?-Procedure-Code,GLAUCOMA PLAN OF CARE DOC
0518F,CPT?-Procedure-Code,FALL PLAN OF CARE DOC
0521F,CPT?-Procedure-Code,PLAN OF CARE 4 PAIN DOC
0526F,CPT?-Procedure-Code,SUBSEQUENT VISIT FOR EPISODE (BKP)
0529F,CPT?-Procedure-Code,INTRVL 3+YRS PTS CLNSCP DOCD
53,Revenue Code,RESERVED NATIONAL ASSIGNMENT
0556F,CPT?-Procedure-Code,PLAN CARE LIPID CONTROL DOCD
0606K,UNKNOWN Code,UNKNOWN Code
7140,UNKNOWN Code,UNKNOWN Code
7210,UNKNOWN Code,UNKNOWN Code
7240,UNKNOWN Code,UNKNOWN Code
7914,UNKNOWN Code,UNKNOWN Code
92,Revenue Code,RESERVED STATE USE
100,Revenue Code,ALL INCL R&B/ANC
1000F,CPT?-Procedure-Code,TOBACCO USE SMOKING ASSESS
1002,CPT?-Procedure-Code,H/ACCOMMODATIONS/RES/CHEM/DEP
10021,CPT?-Procedure-Code,FINE NDLE ASPRTN W/O IMAGING GUIDE
10022,CPT?-Procedure-Code,FINE NDLE ASPRTN W/IMAGING GUIDANCE
10030,CPT?-Procedure-Code,IMAGE-GUIDED CATHETER FLUID
1003F,CPT?-Procedure-Code,LEVEL OF ACTIVITY ASSESS
10040,CPT?-Procedure-Code,ACNE SURGERY
10060,CPT?-Procedure-Code,DRAIN SKIN ABSCESS SIMPLE/SINGLE
10061,CPT?-Procedure-Code,DRAIN SKIN ABSCESS COMPLIC/MULT
1006F,CPT?-Procedure-Code,OSTEOARTHRITIS ASSESS
1007F,CPT?-Procedure-Code,ANTI-INFLM/ANLGSC OTC ASSESS
10080,CPT?-Procedure-Code,DRAINAGE OF PILONIDAL CYST SIMPLE
101,Revenue Code,ALL   INCL   R&B
10120,CPT?-Procedure-Code,REMOVE SKIN FOREIGN BODY SIMPLE
10121,CPT?-Procedure-Code,REMOVE SKIN FOREIGN BODY COMPLIC
10140,CPT?-Procedure-Code,DRAINAGE OF SKIN LESION
10160,CPT?-Procedure-Code,PUNCTURE DRAINAGE OF SKIN LESION
10180,CPT?-Procedure-Code,DRAIN COMPL POSTOP WOUND INFECTION
1022F,CPT?-Procedure-Code,PNEUMO IMM STATUS ASSESS
1030F,CPT?-Procedure-Code,INFLUENZA IMM STATUS ASSESS
1031F,CPT?-Procedure-Code,SMOKING & 2ND HAND ASSESSED
1034F,CPT?-Procedure-Code,CURRENT TOBACCO SMOKER
1036F,CPT?-Procedure-Code,TOBACCO NON-USER
1038F,CPT?-Procedure-Code,PERSISTENT ASTHMA
1055F,CPT?-Procedure-Code,VISUAL FUNCT STATUS ASSESS
1090F,CPT?-Procedure-Code,PRESENCE/ABSENCE URINARY INCONT
1091F,CPT?-Procedure-Code,URINARY INCONT CHARACTERIZED
110,Revenue Code,ROOM-BOARD/PVT
11000,CPT?-Procedure-Code,SURGICAL SKIN CLEANSING UP TO 10%
11004,CPT?-Procedure-Code,DEBRIDE GENITALIA & PERINEUM
11005,CPT?-Procedure-Code,DEBRIDE ABDOM WALL
11008,CPT?-Procedure-Code,REMOVE MESH FROM ABD WALL
1100F,CPT?-Procedure-Code,PATIENT SCREEN FALL RISK 2 OR MOR
11010,CPT?-Procedure-Code,DEBRIDE SKIN/TISSUE FX
11012,CPT?-Procedure-Code,DEBRIDE SKIN/MUSCLE/BONE FX
1101F,CPT?-Procedure-Code,PATIENT SCREEN FALL RISK NO FALLS
11042,CPT?-Procedure-Code,SURGICAL CLEANSING OF SKIN/TISSUE
11043,CPT?-Procedure-Code,SURGICAL CLEANSING OF TISSUE/MUSCLE
11044,CPT?-Procedure-Code,SURG CLEANSING TISSUE/MUSCLE/BONE
11045,CPT?-Procedure-Code,DEB SUBQ TISSUE ADD-ON
11046,CPT?-Procedure-Code,DEB MUSC/FASCIA ADD-ON
11047,CPT?-Procedure-Code,DEB BONE ADD-ON
11055,CPT?-Procedure-Code,PARING/CUT BENIGN SKIN LESION 1
11056,CPT?-Procedure-Code,PARING/CUT BENIGN SKIN LESION 2-4
11057,CPT?-Procedure-Code,PARING/CUT BENIGN SKIN LESION 4+
111,Revenue Code,MED-SUR-GYN/PVT
11100,CPT?-Procedure-Code,BIOPSY OF SKIN LESION
11101,CPT?-Procedure-Code,BIOPSY SKIN SUBQ/MUCOUS EA ADDL
1110F,CPT?-Procedure-Code,PAT DISCHARGE IP FAC WITHIN 60 DAY
1111F,CPT?-Procedure-Code,DISCHARGE MEDS RECONCILED
1116F,CPT?-Procedure-Code,AURIC/PERI PAIN ASSESSED
112,Revenue Code,OB/PVT
11200,CPT?-Procedure-Code,REMOVAL OF SKIN TAGS UP TO 15
11201,CPT?-Procedure-Code,REMOVAL OF EACH ADDL 10 SKIN TAGS
1121F,CPT?-Procedure-Code,SUBS EVAL FOR CONDITION
1123F,CPT?-Procedure-Code,ACP DISCUSS/DSCN MKR DOC
1124F,CPT?-Procedure-Code,ACP DISCUSS-NO DSCNMKR DOC
1125F,CPT?-Procedure-Code,AMOUNT PAIN NOTED PAIN PRESENT
1126F,CPT?-Procedure-Code,AMOUNT PAIN NOTED NONE PRESENT
11300,CPT?-Procedure-Code,SHAVE SKIN LESION TRUNK/ARM/LEG
11301,CPT?-Procedure-Code,SHAVE SKIN LESION TRUNK/ARM/LEG
11302,CPT?-Procedure-Code,SHAVE SKIN LESION TRUNK/ARM/LEG
11303,CPT?-Procedure-Code,SHAVE SKIN LESION TRUNK/ARM/LEG
11305,CPT?-Procedure-Code,SHAVE LESION SCALP/NECK/HAND/FOOT
11306,CPT?-Procedure-Code,SHAVE LESION SCALP/NECK/HAND/FOOT
11307,CPT?-Procedure-Code,SHAVE LESION SCALP/NECK/HAND/FOOT
1130F,CPT?-Procedure-Code,BACK PAIN AND FUNCTION ASSESS
11310,CPT?-Procedure-Code,SHAVE LESION FACE/LID/EAR/NOSE/LIP
11311,CPT?-Procedure-Code,SHAVE LESION FACE/LID/EAR/NOSE/LIP
11312,CPT?-Procedure-Code,SHAVE LESION FACE/LID/EAR/NOSE/LIP
11313,CPT?-Procedure-Code,SHAVE LESION FACE/LID/EAR/NOSE/LIP
114,Revenue Code,PSYCH/PVT
11400,CPT?-Procedure-Code,REMOVE LESION TRUNK/ARM/LEG
11401,CPT?-Procedure-Code,REMOVE LESION TRUNK/ARM/LEG
11402,CPT?-Procedure-Code,REMOVE LESION TRUNK/ARM/LEG
11403,CPT?-Procedure-Code,REMOVE LESION TRUNK/ARM/LEG
11404,CPT?-Procedure-Code,REMOVE LESION TRUNK/ARM/LEG
11406,CPT?-Procedure-Code,REMOVE LESION TRUNK/ARM/LEG
11420,CPT?-Procedure-Code,REMOVE LESION SCALP/NECK/HAND/FOOT
11421,CPT?-Procedure-Code,REMOVE LESION SCALP/NECK/HAND/FOOT
11422,CPT?-Procedure-Code,REMOVE LESION SCALP/NECK/HAND/FOOT
11423,CPT?-Procedure-Code,REMOVE LESION SCALP/NECK/HAND/FOOT
11424,CPT?-Procedure-Code,REMOVE LESION SCALP/NECK/HAND/FOOT
11426,CPT?-Procedure-Code,REMOVE LESION SCALP/NECK/HAND/FOOT
11440,CPT?-Procedure-Code,REMOVE LESION FACE/LID/EAR/NOSE/LIP
11441,CPT?-Procedure-Code,REMOVE LESION FACE/LID/EAR/NOSE/LIP
11442,CPT?-Procedure-Code,REMOVE LESION FACE/LID/EAR/NOSE/LIP
11443,CPT?-Procedure-Code,REMOVE LESION FACE/LID/EAR/NOSE/LIP
11450,CPT?-Procedure-Code,REMOVE SWEAT GLAND LESION AXILLARY
1157F,CPT?-Procedure-Code,ADVNC CARE PLAN IN RCRD
1158F,CPT?-Procedure-Code,ADVNC CARE PLAN TLK DOCD
1159F,CPT?-Procedure-Code,MED LIST DOCD IN RCRD
11600,CPT?-Procedure-Code,REMOVE MALIG LESION TRUNK/ARM/LEG
11601,CPT?-Procedure-Code,REMOVE MALIG LESION TRUNK/ARM/LEG
11602,CPT?-Procedure-Code,REMOVE MALIG LESION TRUNK/ARM/LEG
11603,CPT?-Procedure-Code,REMOVE MALIG LESION TRUNK/ARM/LEG
11604,CPT?-Procedure-Code,REMOVE MALIG LESION TRUNK/ARM/LEG
11606,CPT?-Procedure-Code,REMOVE MALIG LESION TRUNK/ARM/LEG
1160F,CPT?-Procedure-Code,RVW MEDS BY RX/DR IN RCRD
11621,CPT?-Procedure-Code,REMOVE MALIG LESION HEAD/HAND/FOOT
11622,CPT?-Procedure-Code,REMOVE MALIG LESION HEAD/HAND/FOOT
11623,CPT?-Procedure-Code,REMOVE MALIG LESION HEAD/HAND/FOOT
11624,CPT?-Procedure-Code,REMOVE MALIG LESION HEAD/HAND/FOOT
11640,CPT?-Procedure-Code,REMOVE MALIG LESION FACE/NOSE/LIPS
11641,CPT?-Procedure-Code,REMOVE MALIG LESION FACE/NOSE/LIPS
11642,CPT?-Procedure-Code,REMOVE MALIG LESION FACE/NOSE/LIPS
11643,CPT?-Procedure-Code,REMOVE MALIG LESION FACE/NOSE/LIPS
11644,CPT?-Procedure-Code,REMOVE MALIG LESION FACE/NOSE/LIPS
11646,CPT?-Procedure-Code,REMOVE MALIG LESION FACE/NOSE/LIPS
117,Revenue Code,ONCOLOGY/PVT
1170F,CPT?-Procedure-Code,FXNL STATUS ASSESSED
11719,CPT?-Procedure-Code,TRIM NONDYSTROPHIC NAIL ANY NUMBER
11720,CPT?-Procedure-Code,DEBRIDE 1-5 NAILS ANY METHOD
11721,CPT?-Procedure-Code,DEBRIDE 6+ NAILS ANY METHOD
11730,CPT?-Procedure-Code,REMOVAL OF SINGLE NAIL PLATE
11732,CPT?-Procedure-Code,REMOVAL EA ADD NAIL PLATE PRTL/CMP
11740,CPT?-Procedure-Code,DRAIN BLOOD FROM UNDER NAIL
11750,CPT?-Procedure-Code,PERMANENT REMOVAL OF NAIL BED
11755,CPT?-Procedure-Code,BIOPSY OF NAIL UNIT
11760,CPT?-Procedure-Code,REPAIR OF NAIL BED
11762,CPT?-Procedure-Code,NAILBED RECONSTRUCTION W/GRAFT
11765,CPT?-Procedure-Code,EXCISE SKIN WEDGE INGROWN TOENAIL
118,Revenue Code,REHAB/PVT
119,Revenue Code,OTHER/PVT
11900,CPT?-Procedure-Code,INJECT SKIN LESIONS 7 MAX
11901,CPT?-Procedure-Code,INJECT SKIN LESIONS 8 OR MORE
11921,CPT?-Procedure-Code,FIX SKIN COLOR DEFECT 6.1-20 SQCM
11922,CPT?-Procedure-Code,FIX SKIN COLOR DEFECT ADDL 10 SQCM
11970,CPT?-Procedure-Code,REPLACE TISSUE EXPANDER
11980,CPT?-Procedure-Code,SUBCUTANEOUS HORMONE PELLET IMPLANT
11981,CPT?-Procedure-Code,INSERT N-BIODGRAD DRUG DEL IMPLANT
11982,CPT?-Procedure-Code,REMOVE N-BIODGRAD DRUG DEL IMPLANT
120,Revenue Code,ROOM-BOARD/SIM
12001,CPT?-Procedure-Code,REPAIR SUPERFICIAL WOUNDS TRUNK
12002,CPT?-Procedure-Code,REPAIR SUPERFICIAL WOUNDS TRUNK
12004,CPT?-Procedure-Code,REPAIR SUPERFICIAL WOUNDS TRUNK
12005,CPT?-Procedure-Code,REPAIR SUPERFICIAL WOUNDS TRUNK
12007,CPT?-Procedure-Code,REPAIR SUPERFICIAL WOUNDS TRUNK
1200F,CPT?-Procedure-Code,SEIZURE TYPE& FREQU DOCD
12011,CPT?-Procedure-Code,REPAIR SUPERFICIAL WOUNDS FACE
12013,CPT?-Procedure-Code,REPAIR SUPERFICIAL WOUNDS FACE
12014,CPT?-Procedure-Code,REPAIR SUPERFICIAL WOUNDS FACE
12015,CPT?-Procedure-Code,REPAIR SUPERFICIAL WOUNDS FACE
12020,CPT?-Procedure-Code,CLOSURE OF SPLIT WOUND SIMPLE
12021,CPT?-Procedure-Code,CLOSURE OF SPLIT WOUND W/PACKING
12031,CPT?-Procedure-Code,LAYER CLOSURE OF WOUNDS TRUNK
12032,CPT?-Procedure-Code,LAYER CLOSURE OF WOUNDS TRUNK
12034,CPT?-Procedure-Code,LAYER CLOSURE OF WOUNDS TRUNK
12035,CPT?-Procedure-Code,LAYER CLOSURE OF WOUNDS TRUNK
12036,CPT?-Procedure-Code,LAYER CLOSURE OF WOUNDS TRUNK
12037,CPT?-Procedure-Code,LAYER CLOSURE OF WOUNDS TRUNK
12041,CPT?-Procedure-Code,LAYER CLOSURE OF WOUNDS HANDS/FEET
