"CSV Output"
"DX_CD","diag_description",
"0341","0341 - SCARLET FEVER",
"035","035 - ERYSIPELAS",
"0369","0369 - INFECTION MENINGOCOCCAL NOS",
"0380","0380 - SEPTICEMIA STREPTOCOCCAL",
"03810","03810 - SEPTICEMIA STAPHYLOCOCCAL NOS",
"03811","03811 - SEPTICEMIA STAPHYLOCOCCAL AUREUS",
"03812","03812 - METHICILLIN RESIST STAPH SEPTICE",
"03819","03819 - SEPTICEMIA STAPHYLOCOCCAL NEC",
"0382","0382 - SEPTICEMIA PNEUMOCOCCAL",
"0383","0383 - SEPTICEMIA ANAEROBIC",
"03840","03840 - SEPTICEMIA GRAM-NEG ORGANISM NOS",
"03841","03841 - SEPTICEMIA HEMOPHILUS INFLUENZAE",
"03842","03842 - SEPTICEMIA E COLI",
"03843","03843 - SEPTICEMIA PSEUDOMONAS",
"03849","03849 - SEPTICEMIA GRAM-NEG ORGANISM NEC",
"0388","0388 - SEPTICEMIA NEC",
"0389","0389 - SEPTICEMIA NOS",
"0390","0390 - ACTINOMYCOSIS CUTANEOUS",
"0392","0392 - ACTINOMYCOSIS ABDOMINAL",
"0393","0393 - ACTINOMYCOSIS CERVICOFACIAL",
"0398","0398 - ACTINOMYCOSIS NEC",
"0399","0399 - ACTINOMYCOSIS NOS",
"0400","0400 - GAS GANGRENE",
"04042","04042 - WOUND BOTULIS",
"04082","04082 - TOXIC SHOCK SYNDROME",
"04100","04100 - INFECTION STREPTOCOCCUS NOS",
"04101","04101 - INFECTION STREPTOCOCCUS GROUP A",
"04102","04102 - INFECTION STREPTOCOCCUS GROUP B",
"04104","04104 - INFCT STREP GRP D (ENTEROCOCCUS)",
"04105","04105 - INFECTION STREPTOCOCCUS GROUP G",
"04109","04109 - INFECTION STREPTOCOCCUS NEC",
"04110","04110 - INFECTION STAPHYLOCOCCUS NOS",
"04111","04111 - INFECTION STAPHYLOCOCCUS AUREUS",
"04112","04112 - METHICILLIN RESIST STAPH AUREU",
"04119","04119 - INFECTION STAPHYLOCOCCUS NEC",
"0412","0412 - INFECTION PNEUMOCOCCUS",
"0413","0413 - INFECTION KLEBSIELLA",
"0414","0414 - INFECTION E COLI NOS",
"04143","04143 - SHIGA TOXIN-PRODUCING ESCHERICHIA C",
"04149","04149 - OTHER AND UNSPECIFIED ESCHERICHIA C",
"0415","0415 - INFECTION HEMOPHILUS INFLU",
"0416","0416 - INFECTION PROTEUS",
"0417","0417 - INFECTION PSEUDOMONAS",
"04181","04181 - INFECTION BACTERIAL D/T MYCOPLASMA",
"04184","04184 - INFCT BCTRL D/T OTHER ANAEROBES",
"04185","04185 - INFCT BCTRL D/T OTH G-NEG ORGNSM",
"04186","04186 - INFCT BCTRL D/T HELICOBACTER PYLORI",
"04189","04189 - INFECTION BACTERIAL NEC",
"0419","0419 - INFECTION BACTERIAL NOS",
"042","042 - HIV DISEASE",
"04501","04501 - POLIO ACUTE BULBAR TYPE 1",
"04590","04590 - POLIO ACUTE NOS TYPE NOS",
"0479","0479 - MENINGITIS VIRAL NOS",
"0499","0499 - ENCEPHALITIS VIRAL NOS",
"0529","0529 - VARICELLA UNCOMPLICATED",
"05311","05311 - HERPES ZOSTER GENICULATE",
"05312","05312 - TRIGEMINAL NEURALGIA POSTHERPETIC",
"05313","05313 - POLYNEUROPATHY POSTHERPETIC",
"05319","05319 - HERPES ZOSTER W/NRV SYST CMPL NEC",
"05320","05320 - HERPES ZOSTER DERMATITIS EYELID",
"05321","05321 - HERPES ZOSTER KERATOCONJUNCTIVITIS",
"05322","05322 - HERPES ZOSTER IRIDOCYCLITIS",
"05329","05329 - HERPES ZOSTER W/EYE CMPL NEC",
"05371","05371 - OTITIS EXTERNA D/T HERPES ZOSTER",
"0538","0538 - HERPES ZOSTER W/COMPLICATION NOS",
"0539","0539 - HERPES ZOSTER UNCOMPLICATED",
"0540","0540 - ECZEMA HERPETICUM",
"05410","05410 - HERPES GENITAL NOS",
"05411","05411 - HERPETIC VULVOVAGINITIS",
"05419","05419 - HERPES GENITAL NEC",
"0542","0542 - HERPETIC GINGIVOSTOMATITIS",
"0543","0543 - HERPETIC MENINGOENCEPHALITIS",
"05440","05440 - HERPES SIMPLEX W/EYE CMPL NOS",
"05442","05442 - HERPES SIMPLEX DENDRITIC KERATITIS",
"05443","05443 - HERPES SIMPLEX DISCIFORM KERATITIS",
"0549","0549 - HERPES SIMPLEX UNCOMPLICATED",
"0579","0579 - EXANTHEMATA VIRAL NOS",
"0650","0650 - HEMORRHAGIC FEVER CRIMEAN",
"0661","0661 - FEVER TICK-BORNE",
"06641","06641 - WEST NILE FEVER W/ ENCEPHALITIS",
"06642","06642 - WEST NILE FEVER W/OTHER NEURO MANIF",
"0700","0700 - HEPATITIS A VIRAL W/HEPATIC COMA",
"0701","0701 - HEPAT A VIRAL W/O HEPATIC COMA",
"07030","07030 - HEPAT B ACUTE VIRAL W/O COMA W/O D",
"07032","07032 - HEPAT B CHRN VIRAL W/O COMA W/O D",
"07041","07041 - HEPATITIS C VIRAL W/HEPATIC COMA",
"07044","07044 - HEPAT C CHRN VIRAL W/HEPATIC COMA",
"07051","07051 - HEPATITIS C VIRAL W/O HEPATIC COMA",
"07052","07052 - HEPAT DELTA W/O HEPAT B W/O COMA",
"07054","07054 - HEPAT C CHRN VIRAL W/O HEPATIC COMA",
"07059","07059 - HEPAT VIRAL NEC W/O HEPATIC COMA",
"07070","07070 - UNSPEC VIRAL HEP C W/O HEP COMA",
"07071","07071 - UNSPEC VIRAL HEPATITIS C W/HEP COMA",
"0709","0709 - HEPAT VIRAL NOS W/O HEPATIC COMA",
"0730","0730 - ORNITHOSIS W/PNEUMONIA",
"0740","0740 - HERPANGINA",
"07421","07421 - COXSACKIE PERICARDITIS",
"0743","0743 - HAND FOOT AND MOUTH DISEASE",
"075","075 - MONONUCLEOSIS INFECTIOUS",
"0771","0771 - KERATOCONJUNCTIVITIS EPIDEMIC",
"0773","0773 - CONJUNCTIVITIS ADENOVIRAL NEC",
"0778","0778 - CONJUNCTIVITIS VIRAL NEC",
"07799","07799 - DISEASE CONJUNCTIVA D/T VIRUSES",
"0780","0780 - MOLLUSCUM CONTAGIOSUM",
"07810","07810 - WARTS VIRAL NOS",
"07811","07811 - CONDYLOMA ACUMINATUM",
"07812","07812 - PLANTAR WAR",
"07819","07819 - WARTS OTHER SPECIFIED VIRAL",
"0782","0782 - SWEATING FEVER",
"0785","0785 - CYTOMEGALOVIRAL DISEASE",
"07881","07881 - VERTIGO EPIDEMIC",
"07882","07882 - SYNDROME EPIDEMIC VOMITING",
"07888","07888 - DISEASE D/T CHLAMYDIAE NEC",
"07889","07889 - DISEASES OTHER SPECIFIED VIRAL",
"0792","0792 - INFECTION COXSACKIE VIRUS",
"0793","0793 - INFECTION RHINOVIRUS",
"0794","0794 - INFECTION HUMAN PAPILLOMAVIRUS",
"07951","07951 - INFECTION HTLV TYPE I",
"07953","07953 - INFECTION HIV TYPE 2",
"0796","0796 - INFCT RESPIRATORY SYNCYTIAL VIRUS",
"07989","07989 - INFECTION VIRAL NEC",
"07998","07998 - INFECTION CHLAMYDIAL NOS",
"07999","07999 - INFECTION VIRAL NOS",
"0820","0820 - FEVER SPOTTED",
"0846","0846 - MALARIA NOS",
"08881","08881 - LYME DISEASE",
"08882","08882 - BABESIOSIS",
"0910","0910 - SYPHILIS EARLY SYMP PRM GENITAL",
"0913","0913 - SYPHILIS EARLY SYMP SCND SKIN",
"0940","0940 - TABES DORSALIS",
"0941","0941 - PARESIS GENERAL",
"0971","0971 - SYPHILIS LATENT NOS",
"0979","0979 - SYPHILIS NOS",
"09940","09940 - URETHRITIS NONGONOCOCCAL NOS",
"09950","09950 - CHLAMYDIA TRACHOMATIS SITE NOS",
"09953","09953 - CHLAMYDIA TRACHOMATIS LOWER GU",
"0999","0999 - DISEASE VENEREAL NOS",
"1022","1022 - YAWS EARLY SKIN NEC",
"1026","1026 - YAWS BONE AND JOINT LESIONS",
"1100","1100 - DERMATOPHYTOSIS SCALP AND BEARD",
"1101","1101 - DERMATOPHYTOSIS NAIL",
"1102","1102 - DERMATOPHYTOSIS HAND",
"1103","1103 - DERMATOPHYTOSIS GROIN",
"1104","1104 - DERMATOPHYTOSIS FOOT",
"1105","1105 - DERMATOPHYTOSIS BODY",
"1108","1108 - DERMATOPHYTOSIS SITE NEC",
"1109","1109 - DERMATOPHYTOSIS SITE NOS",
"1110","1110 - DERMATOMYCOSIS PITYRIASIS VERSICOLR",
"1118","1118 - DERMATOMYCOSES NEC",
"1119","1119 - DERMATOMYCOSIS NOS",
"1120","1120 - CANDIDIASIS MOUTH (THRUSH)",
"1121","1121 - CANDIDIASIS VULVA/VAGINA",
"1122","1122 - CANDIDIASIS UROGENITAL SITES NEC",
"1123","1123 - CANDIDIASIS SKIN/NAILS",
"1124","1124 - CANDIDIASIS LUNG",
"1125","1125 - CANDIDIASIS DISSEMINATED",
"11282","11282 - CANDIDAL OTITIS EXTERNA",
"11284","11284 - CANDIDAL ESOPHAGITIS",
"11289","11289 - CANDIDIASIS SITE NEC",
"1129","1129 - CANDIDIASIS SITE NOS",
"1140","1140 - COCCIDIOIDOMYCOSIS PRIMARY",
"1149","1149 - COCCIDIOIDOMYCOSIS NOS",
"11502","11502 - HISTOPLASMA CAPSULATUM RETINITIS",
"11590","11590 - HISTOPLASMOSIS NOS",
"11592","11592 - HISTOPLASMOSIS RETINITIS",
"11599","11599 - HISTOPLASMOSIS NOS",
"1173","1173 - ASPERGILLOSIS",
"1174","1174 - MYCOTIC MYCETOMAS",
"1179","1179 - MYCOSIS NEC/NOS",
"1234","1234 - DIPHYLLOBOTHRIASIS INTESTINAL",
"1254","1254 - DIPETALONEMIASIS",
"1274","1274 - ENTEROBIASIS",
"1280","1280 - TOXOCARIASIS",
"1289","1289 - HELMINTHIASIS INFECTION NOS",
"1302","1302 - CHORIORETINITIS TOXOPLASMOSIS",
"13100","13100 - TRICHOMONIASIS UROGENITAL NOS",
"13101","13101 - VULVOVAGINITIS TRICHOMONAL",
"1319","1319 - TRICHOMONIASIS NOS",
"1320","1320 - PEDICULUS CAPITIS (HEAD LOUSE)",
"1330","1330 - SCABIES",
"1349","1349 - INFESTATION NOS",
"135","135 - SARCOIDOSIS",
"1361","1361 - BEHCETS SYNDROME",
"1363","1363 - PNEUMOCYSTOSIS",
"1368","1368 - DISEASE INFECTIOUS/PARASITIC NEC",
"1369","1369 - DISEASE INFECTIOUS/PARASITIC NOS",
"1370","1370 - LATE EFFECTS OF TB RESPIRATORY/NOS",
"138","138 - LATE EFFECTS ACUTE POLIOMYELITIS",
"1401","1401 - NEOP MLIG LOWER LIP VERMILION",
"1409","1409 - NEOP MLIG LIP/VERMILION NOS",
"1410","1410 - NEOP MLIG TONGUE BASE",
"1414","1414 - NEOP MLIG TONGUE ANTERIOR 2/3",
"1419","1419 - NEOP MLIG TONGUE NOS",
"1430","1430 - NEOP MLIG UPPER GUM",
"1431","1431 - NEOP MLIG LOWER GUM",
"1439","1439 - NEOP MLIG GUM NOS",
"1449","1449 - NEOP MLIG FLOOR OF MOUTH NOS",
"1450","1450 - NEOP MLIG CHEEK MUCOSA",
"1459","1459 - NEOP MLIG MOUTH NOS",
"1460","1460 - NEOP MLIG TONSIL",
"1461","1461 - NEOP MLIG TONSILLAR FOSSA",
"1468","1468 - NEOP MLIG OROPHARYNX NEC",
"1469","1469 - NEOP MLIG OROPHARYNX NOS",
"1471","1471 - NEOP MLIG NASOPHARYNX POSTERIOR",
"1478","1478 - NEOP MLIG NASOPHARYNX NEC",
"1479","1479 - NEOP MLIG NASOPHARYNX NOS",
"1489","1489 - NEOP MLIG HYPOPHARYNX NOS",
"1490","1490 - NEOP MLIG PHARYNX NOS",
"1498","1498 - NEOP MLIG ORAL CAVITY/PHARYNX NEC",
"1499","1499 - NEOP MLIG ORAL CAV ILL-DEFINED",
"1500","1500 - NEOP MLIG ESOPHAGUS CERVICAL",
"1505","1505 - NEOP MLIG ESOPHAGUS LOWER 1/3",
"1509","1509 - NEOP MLIG ESOPHAGUS NOS",
"1510","1510 - NEOP MLIG STOMACH CARDIA",
"1513","1513 - NEOP MLIG STOMACH FUNDUS",
"1518","1518 - NEOP MLIG STOMACH NEC",
"1519","1519 - NEOP MLIG STOMACH NOS",
"1520","1520 - NEOP MLIG DUODENUM",
"1521","1521 - NEOP MLIG JEJUNUM",
"1522","1522 - NEOP MLIG ILEUM",
"1529","1529 - NEOP MLIG SMALL INTESTINE NOS",
"1530","1530 - NEOP MLIG HEPATIC FLEXURE",
"1531","1531 - NEOP MLIG TRANSVERSE COLON",
"1532","1532 - NEOP MLIG DESCENDING COLON",
"1533","1533 - NEOP MLIG SIGMOID COLON",
"1534","1534 - NEOP MLIG CECUM",
"1535","1535 - NEOP MLIG APPENDIX",
"1536","1536 - NEOP MLIG ASCENDING COLON",
"1537","1537 - NEOP MLIG SPLENIC FLEXURE",
"1538","1538 - NEOP MLIG LARGE INTESTINE NEC",
"1539","1539 - NEOP MLIG LARGE INTESTINE NOS",
"1540","1540 - NEOP MLIG RECTOSIGMOID JUNCTION",
"1541","1541 - NEOP MLIG RECTUM",
"1542","1542 - NEOP MLIG ANAL CANAL",
"1543","1543 - NEOP MLIG ANUS NOS",
"1548","1548 - NEOP MLIG RECTUM/ANUS NEC",
"1550","1550 - NEOP MLIG LIVER PRIMARY",
"1551","1551 - NEOP MLIG INTRAHEPATIC BILE DUCTS",
"1552","1552 - NEOP MLIG MALIGNANT LIVER NOS",
"1560","1560 - NEOP MLIG GALLBLADDER",
"1561","1561 - NEOP MLIG EXTRAHEPATIC BILE DUCTS",
"1562","1562 - NEOP MLIG AMPULLA OF VATER",
"1570","1570 - NEOP MLIG PANCREAS HEAD",
"1571","1571 - NEOP MLIG PANCREAS BODY",
"1572","1572 - NEOP MLIG PANCREAS TAIL",
"1573","1573 - NEOP MLIG PANCREATIC DUCT",
"1574","1574 - NEOP MLIG ISLETS OF LANGERHANS",
"1578","1578 - NEOP MLIG PANCREAS NEC",
"1579","1579 - NEOP MLIG PANCREAS NOS",
"1588","1588 - NEOP MLIG PERITONEUM NEC",
"1589","1589 - NEOP MLIG PERITONEUM NOS",
"1590","1590 - NEOP MLIG INTESTINAL TRACT NOS",
"1599","1599 - NEOP MLIG GI TRACT ILL-DEFINED",
"1600","1600 - NEOP MLIG NASAL CAVITIES",
"1610","1610 - NEOP MLIG GLOTTIS",
"1619","1619 - NEOP MLIG LARYNX NOS",
"1622","1622 - NEOP MLIG MAIN BRONCHUS",
"1623","1623 - NEOP MLIG LUNG UPPER LOBE",
"1625","1625 - NEOP MLIG LUNG LOWER LOBE",
"1628","1628 - NEOP MLIG BRONCHUS/LUNG NEC",
"1629","1629 - NEOP MLIG BRONCHUS/LUNG NOS",
"1639","1639 - NEOP MLIG PLEURA NOS",
"1642","1642 - NEOP MLIG MEDIASTINUM ANTERIOR",
"1649","1649 - NEOP MLIG MEDIASTINUM NOS",
"1658","1658 - NEOP MLIG RESPIRATORY SYSTEM NEC",
"1659","1659 - NEOP MLIG RESPIRATORY SYSTEM NOS",
"1700","1700 - NEOP MLIG SKULL/FACE BONES",
"1701","1701 - NEOP MLIG MANDIBLE",
"1703","1703 - NEOP MLIG RIBS/STERNUM/CLAVICLE",
"1706","1706 - NEOP MLIG PELVIC BONES",
"1707","1707 - NEOP MLIG LONG BONES LOWER LIMB",
"1709","1709 - NEOP MLIG BONE/CARTILAGE NOS",
"1710","1710 - NEOP MLIG SOFT TISSUE HEAD",
"1712","1712 - NEOP MLIG SOFT TISSUE UPPER LIMB",
"1713","1713 - NEOP MLIG SOFT TISSUE LOWER LIMB",
"1715","1715 - NEOP MLIG SOFT TISSUE ABDOMEN",
"1716","1716 - NEOP MLIG SOFT TISSUE PELVIS",
"1717","1717 - NEOP MLIG SOFT TISSUE TRUNK NOS",
"1718","1718 - NEOP MLIG SOFT TISSUE NEC",
"1719","1719 - NEOP MLIG SOFT TISSUE NOS",
"1720","1720 - MELANOMA MLIG LIP",
"1721","1721 - MELANOMA MLIG EYELID/CANTHUS",
"1723","1723 - MELANOMA MLIG FACE NEC/NOS",
"1724","1724 - MELANOMA MLIG SCALP/NECK",
"1725","1725 - MELANOMA MLIG TRUNK",
"1726","1726 - MELANOMA MLIG UPPER LIMB",
"1727","1727 - MELANOMA MLIG LOWER LIMB",
"1728","1728 - MELANOMA MLIG SKIN NEC",
"1729","1729 - MELANOMA MLIG SKIN NOS",
"17300","17300 - UNSPECIFIED MALIGNANT NEOPLASM OF S",
"17301","17301 - BASAL CELL CARCINOMA OF SKIN OF LIP",
"17302","17302 - SQUAMOUS CELL CARCINOMA OF SKIN OF",
"1731","1731 - NEOP MLIG SKIN EYELID/CANTHUS",
"17310","17310 - UNSPECIFIED MALIGNANT NEOPLASM OF E",
"17311","17311 - BASAL CELL CARCINOMA OF EYELID INCL",
"17312","17312 - SQUAMOUS CELL CARCINOMA OF EYELID I",
"1732","1732 - NEOP MLIG SKIN EAR",
"17320","17320 - UNSPECIFIED MALIGNANT NEOPLASM OF S",
"17321","17321 - BASAL CELL CARCINOMA OF SKIN OF EAR",
"17322","17322 - SQUAMOUS CELL CARCINOMA OF SKIN OF",
"1733","1733 - NEOP MLIG SKIN FACE NEC",
"17330","17330 - UNSPECIFIED MALIGNANT NEOPLASM OF S",
"17331","17331 - BASAL CELL CARCINOMA OF SKIN OF OTH",
"17332","17332 - SQUAMOUS CELL CARCINOMA OF SKIN OF",
"1734","1734 - NEOP MLIG SCALP/SKIN NECK",
"17340","17340 - UNSPECIFIED MALIGNANT NEOPLASM OF S",
"17341","17341 - BASAL CELL CARCINOMA OF SCALP AND S",
"17342","17342 - SQUAMOUS CELL CARCINOMA OF SCALP AN",
"1735","1735 - NEOP MLIG SKIN TRUNK",
"17350","17350 - UNSPECIFIED MALIGNANT NEOPLASM OF S",
"17351","17351 - BASAL CELL CARCINOMA OF SKIN OF TRU",
"17352","17352 - SQUAMOUS CELL CARCINOMA OF SKIN OF",
"17359","17359 - OTHER SPECIFIED MALIGNANT NEOPLASM",
"1736","1736 - NEOP MLIG SKIN UPPER LIMB",
"17360","17360 - UNSPECIFIED MALIGNANT NEOPLASM OF S",
"17361","17361 - BASAL CELL CARCINOMA OF SKIN OF UPP",
"17362","17362 - SQUAMOUS CELL CARCINOMA OF SKIN OF",
"17369","17369 - OTHER SPECIFIED MALIGNANT NEOPLASM",
"1737","1737 - NEOP MLIG SKIN LOWER LIMB",
"17371","17371 - BASAL CELL CARCINOMA OF SKIN OF LOW",
"17372","17372 - SQUAMOUS CELL CARCINOMA OF SKIN OF",
"17381","17381 - BASAL CELL CARCINOMA OF OTHER SPECI",
"17382","17382 - SQUAMOUS CELL CARCINOMA OF OTHER SP",
"17389","17389 - OTHER SPECIFIED MALIGNANT NEOPLASM",
"1739","1739 - NEOP MLIG SKIN NOS",
"17390","17390 - UNSPECIFIED MALIGNANT NEOPLASM OF S",
"17391","17391 - BASAL CELL CARCINOMA OF SKIN SITE U",
"17392","17392 - SQUAMOUS CELL CARCINOMA OF SKIN SIT",
"17399","17399 - OTHER SPECIFIED MALIGNANT NEOPLASM",
"174","174 - NEOPLASM MALIGNANT FEMALE BREAST",
"1740","1740 - NEOP MLIG FEMALE NIPPLE",
"1741","1741 - NEOP MLIG FEMALE BREAST CENTRAL",
"1742","1742 - NEOP MLIG FEMALE BREAST UP/IN Q",
"1743","1743 - NEOP MLIG FEMALE BREAST LWR/IN Q",
"1744","1744 - NEOP MLIG FEMALE BREAST UP/OUT Q",
"1745","1745 - NEOP MLIG FEMALE BREAST LWR/OUT Q",
"1748","1748 - NEOP MLIG FEMALE BREAST NEC",
"1749","1749 - NEOP MLIG FEMALE BREAST NOS",
"1750","1750 - NEOP MLIG MALE NIPPLE",
"1759","1759 - NEOP MLIG MALE BREAST NOS",
"179","179 - NEOPLASM MALIGNANT UTERUS NEC",
"1800","1800 - NEOP MLIG ENDOCERVIX",
"1809","1809 - NEOP MLIG CERVIX UTERI NOS",
"1820","1820 - NEOP MLIG CORPUS UTERI",
"1828","1828 - NEOP MLIG UTERUS BODY NEC",
"1830","1830 - NEOP MLIG OVARY",
"1839","1839 - NEOP MLIG UTERINE ADNEXA NOS",
"1844","1844 - NEOP MLIG VULVA NOS",
"1848","1848 - NEOP MLIG FEMALE GENITAL NEC",
"185","185 - NEOPLASM MALIGNANT PROSTATE",
"1869","1869 - NEOP MLIG TESTIS NEC/NOS",
"1872","1872 - NEOP MLIG GLANS PENIS",
"1874","1874 - NEOP MLIG PENIS NOS",
"1876","1876 - NEOP MLIG SPERMATIC CORD",
"1880","1880 - NEOP MLIG BLADDER TRIGONE",
"1881","1881 - NEOP MLIG BLADDER DOME",
"1882","1882 - NEOP MLIG BLADDER LATERAL",
"1884","1884 - NEOP MLIG BLADDER POSTERIOR",
"1888","1888 - NEOP MLIG BLADDER NEC",
"1889","1889 - NEOP MLIG BLADDER NOS",
"1890","1890 - NEOP MLIG KIDNEY",
"1891","1891 - NEOP MLIG RENAL PELVIS",
"1892","1892 - NEOP MLIG URETER",
"1893","1893 - NEOP MLIG URETHRA",
"1899","1899 - NEOP MLIG URINARY ORGANS NOS",
"1901","1901 - NEOP MLIG ORBIT",
"1908","1908 - NEOP MLIG EYE NEC",
"1909","1909 - NEOP MLIG EYE NOS",
"1910","1910 - NEOP MLIG BRAIN CEREBRUM",
"1911","1911 - NEOP MLIG BRAIN FRONTAL LOBE",
"1912","1912 - NEOP MLIG BRAIN TEMPORAL LOBE",
"1913","1913 - NEOP MLIG BRAIN PARIETAL LOBE",
"1918","1918 - NEOP MLIG BRAIN NEC",
"1919","1919 - NEOP MLIG BRAIN NOS",
"1921","1921 - NEOP MLIG CEREBRAL MENINGES",
"1922","1922 - NEOP MLIG SPINAL CORD",
"1929","1929 - NEOP MLIG NERVOUS SYSTEM NOS",
"193","193 - NEOPLASM MALIGNANT THYROID GLAND",
"1940","1940 - NEOP MLIG ADRENAL GLAND",
"1950","1950 - NEOP MLIG HEAD/FACE/NECK",
"1951","1951 - NEOP MLIG THORAX",
"1952","1952 - NEOP MLIG ABDOMEN",
"1953","1953 - NEOP MLIG PELVIS",
"1955","1955 - NEOP MLIG LOWER LIMB",
"1958","1958 - NEOP MLIG SITE NEC",
"1960","1960 - NEOP MLIG LYMPH HEAD/NECK/FACE",
"1961","1961 - NEOP MLIG LYMPH INTRATHORACIC",
"1962","1962 - NEOP MLIG LYMPH INTRAABDOMINAL",
"1963","1963 - NEOP MLIG LYMPH AXILLA/ARM",
"1965","1965 - NEOP MLIG LYMPH INGUINAL/LEG",
"1966","1966 - NEOP MLIG LYMPH INTRAPELVIC",
"1968","1968 - NEOP MLIG LYMPH NODES MULT SITE",
"1969","1969 - NEOP MLIG LYMPH NODE NOS",
"1970","1970 - NEOP MTSTC LUNG",
"1971","1971 - NEOP MTSTC MEDIASTINUM",
"1972","1972 - NEOP MTSTC PLEURA",
"1974","1974 - NEOP MTSTC DUODENUM/SMALL INTEST",
"1975","1975 - NEOP MTSTC RECTUM/LARGE INTESTINE",
"1976","1976 - NEOP MTSTC PERITONEUM",
"1977","1977 - NEOP MTSTC LIVER",
"1978","1978 - NEOP MTSTC GI NEC",
"1982","1982 - NEOP MTSTC SKIN",
"1983","1983 - NEOP MTSTC BRAIN AND SPINAL CORD",
"1984","1984 - NEOP MTSTC NERVOUS SYSTEM NEC",
"1985","1985 - NEOP MTSTC BONE AND BONE MARROW",
"1986","1986 - NEOP MTSTC OVARY",
"19881","19881 - NEOP MTSTC BREAST",
"19882","19882 - NEOP MTSTC GENITAL ORGANS",
"19889","19889 - NEOP MTSTC NEC",
"1990","1990 - NEOP MLIG DISSEMINATED",
"1991","1991 - NEOP MLIG NOS",
"20000","20000 - RETICULOSARCOMA UNSPECIFIED SITE",
"20008","20008 - RETICULOSARCOMA MULTIPLE SITES",
"20015","20015 - LYMPHOSARCOMA INGUINAL/LWR LIMB",
"20020","20020 - BURKITTS TUMOR UNSPECIFIED SITE",
"20040","20040 - MANTLE CELL LYMPH UNSPEC SIT",
"20041","20041 - MANTLE CELL LYMPH HEAD FACE & NEC",
"20048","20048 - MANTLE CELL LYMPH NODES MULT SITE",
"20050","20050 - PRIMARY CNS LYMPH UNSPEC SIT",
"20070","20070 - LARGE CELL LYMPH UNSPEC SIT",
"20071","20071 - LARGE CELL LYMPH HEAD FACE & NEC",
"20078","20078 - LARGE CELL LYMPH NODES MULT SITE",
"20080","20080 - LYMPHOSARCOMA MIXED UNSPC SITE",
"20100","20100 - HODGKINS PARAGRANULOMA UNSPC",
"20108","20108 - HODGKINS PARAGRANULOMA MLT SITE",
"20150","20150 - HODGKINS NDLR SCLR UNSPC",
"20190","20190 - HODGKINS DISEASE NOS UNSPECIFIED",
"20192","20192 - HODGKINS DIS NOS INTRATHORACIC",
"20200","20200 - LYMPHM MLIG NDLR UNSPC SITE",
"20201","20201 - LYMPHM MLIG NDLR HEAD/NECK/FACE",
"20202","20202 - LYMPHM MLIG NDLR INTRATHORACIC",
"20203","20203 - LYMPHM MLIG NDLR INTRA-ABDOMINAL",
"20205","20205 - LYMPHM MLIG NDLR INGUI/LWR LIMB",
